# Κείμενο μενού του Master Looter στα Ελληνικά.
# Αυτή είναι αυτόματη μετάφραση από το Claude, ένα AI της Anthropic, και δεν
# την έχει ελέγξει ακόμα κανένας φυσικός ομιλητής. Διορθώσεις είναι ευπρόσδεκτες
# στο GitHub (github.com/shin2344234/master-looter) ή στη σελίδα του mod στο Nexus.
#
# Μία γραμμή ανά κείμενο: το αγγλικό πρωτότυπο, μια στηλοθέτηση (tab) και μετά
# η μετάφραση. Γραμμές που ξεκινούν με # αγνοούνται. Το \n μέσα σε ένα κείμενο
# σημαίνει αλλαγή γραμμής. Μια γραμμή χωρίς μετάφραση μετά τη στηλοθέτηση
# εμφανίζεται στα αγγλικά, οπότε ένα μισοτελειωμένο αρχείο λειτουργεί κανονικά.
# Κάθε %d, %s, %.1f και τα λοιπά πρέπει να διατηρηθούν ακριβώς όπως είναι και
# με την ίδια σειρά: αντικαθίστανται με αριθμούς και ονόματα κατά την εκτέλεση,
# και μια γραμμή που τα αλλάζει αγνοείται αντί να ρισκάρει λάθος τιμές.
#
# Αποθήκευσέ το ως MasterLooter.el.txt δίπλα στο plugin ώστε να αντικαταστήσει
# το ενσωματωμένο αντίγραφο, και όρισε Language=el στο MasterLooter.ini ή
# πληκτρολόγησε τη γλώσσα στο General, Language.

  bag full	  τσάντα γεμάτη
Auto-loot on / off	Αυτόματο λουτ ενεργό / ανενεργό
Backups	Αντίγραφα ασφαλείας
blank for English	κενό για αγγλικά
Books and papers	Βιβλία και χαρτιά
Boss rewards, artifacts, memory items, coin pouches and reward chests.	Ανταμοιβές αφεντικών, αρχαία αντικείμενα, αντικείμενα μνήμης, πουγκιά νομισμάτων και κιβώτια ανταμοιβής.
Break veins open rather than emptying them	Σπάσε τις φλέβες αντί να τις αδειάσεις
Breaking drives the game's own state machine at the vein, the swing landing and then the break, so the node spills its contents on the ground and disappears exactly as it does under a pickaxe. Emptying instead lifts the ore straight out and skips the drop entirely. Neither route pays your tool's Mining Yield Up, which the game only grants to a swing it counts as yours, so set the extra below to make up the difference. Each vein is struck once and then left alone until the game respawns it.	Το σπάσιμο οδηγεί την ίδια τη μηχανή κατάστασης του παιχνιδιού στη φλέβα, το χτύπημα και μετά το σπάσιμο, οπότε ο κόμβος χύνει το περιεχόμενό του στο έδαφος και εξαφανίζεται ακριβώς όπως και με μια αξίνα. Το άδειασμα αντίθετα βγάζει το μετάλλευμα κατευθείαν και παρακάμπτει εντελώς την πτώση. Καμία από τις δύο μεθόδους δεν πληρώνει το Mining Yield Up του εργαλείου σου, που το παιχνίδι το χορηγεί μόνο σε χτύπημα που θεωρεί δικό σου, οπότε όρισε το επιπλέον παρακάτω για να καλύψεις τη διαφορά. Κάθε φλέβα χτυπιέται μία φορά και μετά μένει ανέγγιχτη μέχρι το παιχνίδι να την αναδημιουργήσει.
Butterflies, beetles, dragonflies, bees, spiders, scorpions, snails and the other small things the game files as insects. Species come from the creature table; a creature the table cannot name is only caught when every category it could belong to is on (a flyer could be a fish, an insect or a bird).	Πεταλούδες, σκαθάρια, λιβελλούλες, μέλισσες, αράχνες, σκορπιοί, σαλιγκάρια και τα υπόλοιπα μικρά πλάσματα που το παιχνίδι καταχωρεί ως έντομα. Τα είδη προέρχονται από τον πίνακα πλασμάτων· ένα πλάσμα που ο πίνακας δεν μπορεί να ονομάσει πιάνεται μόνο όταν είναι ενεργές όλες οι κατηγορίες στις οποίες θα μπορούσε να ανήκει (κάτι που πετάει μπορεί να είναι ψάρι, έντομο ή πουλί).
captured	πιάστηκε
Carcasses	Κουφάρια
Bodies	Πτώματα
carcasses off	κουφάρια ανενεργά
bodies off	πτώματα ανενεργά
Catching	Πιάσιμο
Caught creatures, live or lying around; a creature the table can name follows its class rule. Crabs, shrimp and squid are seafood under Food and drink.	Πλάσματα που πιάνονται, ζωντανά ή πεσμένα τριγύρω· ένα πλάσμα που ο πίνακας μπορεί να ονομάσει ακολουθεί τον κανόνα κατηγορίας του. Τα καβούρια, οι γαρίδες και τα καλαμάρια είναι θαλασσινά κάτω από το Φαγητό και ποτό.
Chests, crates and drop-set nodes. They rarely respond to the loot event. Off by default.	Κιβώτια, κασόνια και κόμβοι drop-set. Σπάνια ανταποκρίνονται στο συμβάν λουτ. Ανενεργό εξ ορισμού.
Class	Κατηγορία
class %s	κατηγορία %s
Classes	Κατηγορίες
Clear	Καθαρισμός
Clear overrides	Καθαρισμός παρακάμψεων
Clears what this session worked out from your bag. Nodes named by the prefab table are unaffected.	Καθαρίζει ό,τι υπολόγισε αυτή η συνεδρία από την τσάντα σου. Οι κόμβοι που ονομάζονται από τον πίνακα prefab δεν επηρεάζονται.
Close	Κλείσιμο
container (off)	δοχείο (ανενεργό)
Containers	Δοχεία
Controller	Χειριστήριο
Copper	Χαλκός
Copy	Αντιγραφή
Copy path	Αντιγραφή διαδρομής
Copy to the clipboard.	Αντιγραφή στο πρόχειρο.
corpse	πτώμα
corpse already searched	το πτώμα έχει ήδη ερευνηθεί
corpse: loot drops separately	πτώμα: το λουτ πέφτει ξεχωριστά
creature	πλάσμα
Creatures	Πλάσματα
Crops	Καλλιέργειες
crops off	καλλιέργειες ανενεργές
Damaged gear	Φθαρμένος εξοπλισμός
Dead zone around you	Νεκρή ζώνη γύρω σου
Decision	Απόφαση
default	προεπιλογή
DirectX 12 hooks	Hooks DirectX 12
does not respond	δεν ανταποκρίνεται
Draw water from wells	Άντλησε νερό από πηγάδια
Engine	Μηχανή
English	Αγγλικά
English. %d line(s) seen this session.	Αγγλικά. %d γραμμή(ές) εμφανίστηκαν σε αυτή τη συνεδρία.
entity	οντότητα
entity %08X	οντότητα %08X
entity %08X, %d items across every store	οντότητα %08X, %d αντικείμενα σε όλες τις αποθήκες
entity %08X, bag %d of %d slots, %d items across every store	οντότητα %08X, τσάντα %d από %d θέσεις, %d αντικείμενα σε όλες τις αποθήκες
Event descriptors	Περιγραφείς συμβάντων
Extra ore per vein	Επιπλέον μετάλλευμα ανά φλέβα
failed	απέτυχε
fast-travel artifact	αντικείμενο γρήγορης μετακίνησης
filter classes	φιλτράρισμα κατηγοριών
filter tags	φιλτράρισμα ετικετών
Filters	Φίλτρα
Fish	Ψάρια
fish off	ψάρια ανενεργά
Fish, and whatever else you catch in the water: crabs, shrimp, squid, starfish and seahorses.	Ψάρια, και ό,τι άλλο πιάνεις μέσα στο νερό: καβούρια, γαρίδες, καλαμάρια, αστερίες και ιππόκαμποι.
Food and drink	Φαγητό και ποτό
Forget	Ξέχνα το
found	βρέθηκε
Furniture	Έπιπλα
Furniture and decor	Έπιπλα και διακόσμηση
furniture node (off)	κόμβος επίπλου (ανενεργός)
furniture off	έπιπλα ανενεργά
Game functions	Λειτουργίες παιχνιδιού
Game functions did not resolve; see Status.	Οι λειτουργίες παιχνιδιού δεν εντοπίστηκαν· δες την Κατάσταση.
Game-thread pump	Άντληση του game thread
gather node	κόμβος συλλογής
Gathering	Συλλογή
General	Γενικά
Ground items	Αντικείμενα στο έδαφος
Groups	Ομάδες
Herb, flower and mushroom nodes, and the same lying on the ground. Food crops have their own switch.	Κόμβοι βοτάνων, λουλουδιών και μανιταριών, και τα ίδια πεσμένα στο έδαφος. Οι καλλιέργειες τροφίμων έχουν δικό τους διακόπτη.
hold two buttons (Escape cancels)	κράτα πατημένα δύο πλήκτρα (το Escape ακυρώνει)
Household clutter and collectibles, most of it worthless.	Οικιακά μπιχλιμπίδια και συλλεκτικά, τα περισσότερα άχρηστα.
How full the bag is is read from the bag itself, so the notice appears the moment it fills, whether or not you are looting. If those numbers ever stop making sense the mod falls back to watching what happens after a pick-up: three in a row that reach nothing raise the notice, and one landing clears it.	Το πόσο γεμάτη είναι η τσάντα διαβάζεται από την ίδια την τσάντα, οπότε η ειδοποίηση εμφανίζεται τη στιγμή που γεμίζει, είτε κάνεις λουτ είτε όχι. Αν αυτοί οι αριθμοί σταματήσουν κάποτε να βγάζουν νόημα, το mod καταφεύγει στο να παρακολουθεί τι συμβαίνει μετά από κάθε μάζεμα: τρία στη σειρά που δεν πιάνουν τίποτα ενεργοποιούν την ειδοποίηση, και ένα που πετυχαίνει την καθαρίζει.
How often the scene is read. The scan runs on its own thread; only the final take costs the game a fraction of a millisecond.	Πόσο συχνά διαβάζεται η σκηνή. Η σάρωση τρέχει στο δικό της thread· μόνο το τελικό αποτέλεσμα κοστίζει στο παιχνίδι ένα κλάσμα του χιλιοστού του δευτερολέπτου.
incomplete	ημιτελές
Insects	Έντομα
insects off	έντομα ανενεργά
installed	εγκατεστημένο
Item	Αντικείμενο
Item database	Βάση δεδομένων αντικειμένων
Item table	Πίνακας αντικειμένων
Items	Αντικείμενα
Items lying in the world, including drops from enemies.	Αντικείμενα πεσμένα στον κόσμο, μαζί με αυτά που ρίχνουν οι εχθροί.
Items no shop will buy, across every class.	Αντικείμενα που κανένα μαγαζί δεν αγοράζει, σε κάθε κατηγορία.
Items on the ground	Αντικείμενα στο έδαφος
Items tagged quest are left alone, so puzzles and story pickups are not auto-taken. This reads the item's own tags, so it covers anything picked up, gathered or broken open. Skinning a carcass is outside it: that yield arrives without the mod ever seeing what it is.	Τα αντικείμενα με ετικέτα αποστολής μένουν ανέγγιχτα, ώστε γρίφοι και αντικείμενα ιστορίας να μην παίρνονται αυτόματα. Αυτό διαβάζει τις ίδιες τις ετικέτες του αντικειμένου, οπότε καλύπτει οτιδήποτε μαζεύεται, συλλέγεται ή ανοίγεται σπάζοντας. Το γδάρσιμο ενός κουφαριού μένει εκτός: αυτή η απόδοση φτάνει χωρίς το mod να δει ποτέ τι είναι.
Items with an unknown value are never filtered by it.	Αντικείμενα με άγνωστη αξία δεν φιλτράρονται ποτέ από αυτό.
Keep the menu on screen while you play. %s brings it back, %s closes it.	Κράτα το μενού στην οθόνη ενώ παίζεις. Το %s το επαναφέρει, το %s το κλείνει.
Keys	Πλήκτρα
Keys and tools	Κλειδιά και εργαλεία
Language	Γλώσσα
Language \"%s\": %d line(s) translated, %d seen this session.	Γλώσσα \"%s\": %d γραμμή(ές) μεταφρασμένες, %d εμφανίστηκαν σε αυτή τη συνεδρία.
learned from the game	μαθεύτηκε από το παιχνίδι
Load	Φόρτωση
loaded	φορτώθηκε
locked	κλειδωμένο
Log	Αρχείο καταγραφής
Log: %ls	Αρχείο καταγραφής: %ls
Loot	Λουτ
Loot all	Λεηλάτησε όλα
Loot engine	Μηχανή λουτ
Loot engine not started.	Η μηχανή λουτ δεν έχει ξεκινήσει.
Loot everything in range now	Λεηλάτησε τα πάντα εντός εμβέλειας τώρα
Loot everything in range once	Λεηλάτησε τα πάντα εντός εμβέλειας μία φορά
loot: %s	λουτ: %s
Looting	Λουτ
MASTER LOOTER	MASTER LOOTER
Master Looter v%s for game build %s	Master Looter v%s για έκδοση παιχνιδιού %s
Materials	Υλικά
mechanism part	μέρος μηχανισμού
Memory chips and puzzle parts	Τσιπ μνήμης και κομμάτια γρίφων
Mine ore veins for you	Εξόρυξε φλέβες μεταλλεύματος για σένα
Minimum value (copper)	Ελάχιστη αξία (χαλκός)
missing	λείπει
missing MasterLooter.items.tsv	λείπει το MasterLooter.items.tsv
mission object	αντικείμενο αποστολής
Mounts and vehicles	Ζώα ιππασίας και οχήματα
name a new preset	όνομα νέας προεπιλογής
Nearby	Κοντά
never	ποτέ
no	όχι
no interaction node	κόμβος χωρίς αλληλεπίδραση
Nodes the prefab table does not name and that have not yielded anything yet this session. Off (the default) leaves them alone. On makes the mod gather them to find out, which means a plant can be taken while Plants is off.	Κόμβοι που ο πίνακας prefab δεν ονομάζει και δεν έχουν αποδώσει τίποτα ακόμα σε αυτή τη συνεδρία. Ανενεργό (η προεπιλογή) τους αφήνει ανέγγιχτους. Ενεργό κάνει το mod να τους συλλέγει για να μάθει, πράγμα που σημαίνει ότι ένα φυτό μπορεί να παρθεί ενώ τα Φυτά είναι ανενεργά.
none	κανένα
not found yet	δεν βρέθηκε ακόμα
not in item database	δεν είναι στη βάση δεδομένων αντικειμένων
not ready (node empty)	μη έτοιμο (ο κόμβος είναι άδειος)
not resolved yet	δεν έχει εντοπιστεί ακόμα
not started	δεν έχει ξεκινήσει
not yet	όχι ακόμα
Nothing else is drawn while the menu is closed.	Τίποτα άλλο δεν σχεδιάζεται ενώ το μενού είναι κλειστό.
nothing taken yet this session	δεν έχει παρθεί τίποτα ακόμα σε αυτή τη συνεδρία
Object	Αντικείμενο
object	αντικείμενο
Objects are listed nearest first, with the rule that decided each one. Empty nodes read as not ready until the game or arming fills them. What you are wearing and carrying is left out.	Τα αντικείμενα εμφανίζονται με το πιο κοντινό πρώτο, μαζί με τον κανόνα που αποφάσισε για το καθένα. Οι άδειοι κόμβοι εμφανίζονται ως μη έτοιμοι μέχρι το παιχνίδι ή η όπλιση να τους γεμίσει. Ό,τι φοράς και κουβαλάς μένει εκτός.
Objects closer than this are treated as your own equipment. A safety net; your gear is also recognised by other means.	Αντικείμενα πιο κοντινά από αυτό αντιμετωπίζονται ως δικός σου εξοπλισμός. Ένα δίχτυ ασφαλείας· ο εξοπλισμός σου αναγνωρίζεται και με άλλους τρόπους.
Objects per burst press	Αντικείμενα ανά πάτημα ριπής
Objects per scan	Αντικείμενα ανά σάρωση
on the player	πάνω στον παίκτη
On, a vein is harvested where it stands and you never swing a pickaxe. Off, veins are left alone and only the chunks you knock loose are picked up. Needs arming, since asking the vein to open is the whole trick.	Ενεργό, μια φλέβα συλλέγεται εκεί που στέκεται και δεν χτυπάς ποτέ με αξίνα. Ανενεργό, οι φλέβες μένουν ανέγγιχτες και μαζεύονται μόνο τα κομμάτια που σπας. Χρειάζεται όπλιση, αφού το να ζητήσεις από τη φλέβα να ανοίξει είναι όλο το κόλπο.
On, the overlay draws under DLSS frame generation, which needs this mod to hand the game a wrapped swapchain.\n\nOff, the overlay draws through the present hook instead. Everything looks the same unless frame generation is on, and the mod stays off a path other overlay mods patch as well. Try this if the game will not start alongside another overlay mod; it can be set as WrapSwapChain in MasterLooter.ini without launching the game.	Ενεργό, η επικάλυψη σχεδιάζεται κάτω από τη δημιουργία καρέ του DLSS, κάτι που απαιτεί το mod να δώσει στο παιχνίδι ένα τυλιγμένο swapchain.\n\nΑνενεργό, η επικάλυψη σχεδιάζεται μέσω του present hook αντ' αυτού. Όλα φαίνονται ίδια εκτός αν η δημιουργία καρέ είναι ενεργή, και το mod μένει μακριά από ένα μονοπάτι που μπαλώνουν και άλλα mods επικάλυψης. Δοκίμασέ το αν το παιχνίδι δεν ξεκινάει μαζί με άλλο mod επικάλυψης· μπορεί να οριστεί ως WrapSwapChain στο MasterLooter.ini χωρίς να ανοίξεις το παιχνίδι.
One backup is written each time the game starts and the last twelve are kept, in MasterLooter.backups next to the plugin. Presets sit in MasterLooter.presets. Copy either folder to keep it across a reinstall.	Ένα αντίγραφο ασφαλείας γράφεται κάθε φορά που ξεκινάει το παιχνίδι και κρατιούνται τα τελευταία δώδεκα, στο MasterLooter.backups δίπλα στο plugin. Οι προεπιλογές βρίσκονται στο MasterLooter.presets. Αντέγραψε όποιον από τους δύο φακέλους θες για να τον κρατήσεις μετά από επανεγκατάσταση.
One click per family. The table below still sets single classes; a group shows a dash when only some of it is on.	Ένα κλικ ανά οικογένεια. Ο παρακάτω πίνακας εξακολουθεί να ορίζει μεμονωμένες κατηγορίες· μια ομάδα δείχνει παύλα όταν μόνο μέρος της είναι ενεργό.
Open and close this menu	Άνοιγμα και κλείσιμο αυτού του μενού
Open folder	Άνοιγμα φακέλου
Opens the folder in Explorer. The log is rewritten every launch and is what to attach to a report.	Ανοίγει τον φάκελο στον Explorer. Το αρχείο καταγραφής ξαναγράφεται σε κάθε εκκίνηση και είναι αυτό που πρέπει να επισυνάψεις σε μια αναφορά.
Ore	Μετάλλευμα
Ore chunks on the ground and any node that yields ore, veins included. A vein is broken where it stands and its contents picked up off the floor, which is what your pickaxe does and what makes a better pickaxe worth carrying: the tool's Mining Yield Up applies to the drop, not to the node. Each vein is struck once and left alone until the game brings it back. Reaching for veins starts as far out as the scan can see, because they take seconds to answer where a bush takes a fraction of one.	Κομμάτια μεταλλεύματος στο έδαφος και κάθε κόμβος που αποδίδει μετάλλευμα, φλέβες συμπεριλαμβανομένων. Μια φλέβα σπάει εκεί που στέκεται και το περιεχόμενό της μαζεύεται από το πάτωμα, ακριβώς αυτό που κάνει η αξίνα σου και αυτό που κάνει μια καλύτερη αξίνα να αξίζει τον κόπο: το Mining Yield Up του εργαλείου εφαρμόζεται στην πτώση, όχι στον κόμβο. Κάθε φλέβα χτυπιέται μία φορά και μένει ανέγγιχτη μέχρι το παιχνίδι να την επαναφέρει. Το φτάσιμο σε φλέβες ξεκινάει όσο μακριά μπορεί να δει η σάρωση, γιατί χρειάζονται δευτερόλεπτα για να απαντήσουν εκεί που ένας θάμνος χρειάζεται κλάσμα ενός.
ore off	μετάλλευμα ανενεργό
Ore, gems, stone, timber, hides, herbs, trade goods and other crafting input.	Μετάλλευμα, πετράδια, πέτρα, ξυλεία, δέρματα, βότανα, εμπορεύματα και άλλα υλικά κατασκευής.
out of range	εκτός εμβέλειας
Overlay	Επικάλυψη
Override	Παράκαμψη
owned by someone (theft)	ανήκει σε κάποιον (κλοπή)
Ownership	Ιδιοκτησία
Ownership oracle	Μαντείο ιδιοκτησίας
Pace	Ρυθμός
part of a creature or a mechanism	μέρος πλάσματος ή μηχανισμού
paused: %s	σε παύση: %s
pick up off	μάζεμα ανενεργό
Plants	Φυτά
plants off	φυτά ανενεργά
Player	Παίκτης
Player equipment.	Εξοπλισμός παίκτη.
Player not found in the scene yet.	Ο παίκτης δεν έχει βρεθεί ακόμα στη σκηνή.
Presets	Προεπιλογές
press a key (Escape cancels)	πάτησε ένα πλήκτρο (το Escape ακυρώνει)
Protected by default: a memory chip starts a memory scene when taken, and a puzzle part breaks its puzzle. Turn on only if you want them auto-taken.	Προστατευμένο εξ ορισμού: ένα τσιπ μνήμης ξεκινάει μια σκηνή μνήμης όταν παρθεί, και ένα κομμάτι γρίφου χαλάει τον γρίφο του. Ενεργοποίησέ το μόνο αν θέλεις να παίρνονται αυτόματα.
protected item name	όνομα προστατευμένου αντικειμένου
Puts every setting and rule back to what it was at that moment.	Επαναφέρει κάθε ρύθμιση και κανόνα σε αυτό που ήταν εκείνη τη στιγμή.
puzzle or protected mechanism	γρίφος ή προστατευμένος μηχανισμός
Quest items	Αντικείμενα αποστολής
quest or memory trigger	ενεργοποιητής αποστολής ή μνήμης
Ranges (metres)	Εμβέλειες (μέτρα)
Rats, squirrels, birds, lizards, frogs and salamanders: anything else the game puts in the bag whole.	Αρουραίοι, σκίουροι, πουλιά, σαύρες, βάτραχοι και σαλαμάνδρες: ό,τι άλλο βάζει το παιχνίδι ολόκληρο στην τσάντα.
Reaching nodes	Φτάσιμο κόμβων
Read from the file beside the plugin, not the copy inside it.	Διαβάζεται από το αρχείο δίπλα στο plugin, όχι το αντίγραφο μέσα σε αυτό.
Rebind	Επαναρύθμιση
Recent loot	Πρόσφατα λάφυρα
Refresh	Ανανέωση
Reload now	Επαναφόρτωση τώρα
Replaces every setting and every class, tag and item rule with what the preset holds, and writes it to MasterLooter.ini. Nothing of the current settings is kept, so back them up first if you want them.	Αντικαθιστά κάθε ρύθμιση και κάθε κανόνα κατηγορίας, ετικέτας και αντικειμένου με ό,τι περιέχει η προεπιλογή, και το γράφει στο MasterLooter.ini. Τίποτα από τις τρέχουσες ρυθμίσεις δεν κρατιέται, οπότε πάρε αντίγραφο ασφαλείας πρώτα αν τις θέλεις.
Reset all tags	Επαναφορά όλων των ετικετών
resolved	εντοπίστηκε
Retry the same object after (ms)	Ξαναδοκίμασε το ίδιο αντικείμενο μετά από (ms)
Route id	Αναγνωριστικό διαδρομής
Rule	Κανόνας
Save now	Αποθήκευση τώρα
Saved as \"%s\": a preset name keeps letters, digits, spaces, dashes and underscores.	Αποθηκεύτηκε ως \"%s\": ένα όνομα προεπιλογής κρατάει γράμματα, ψηφία, κενά, παύλες και κάτω παύλες.
Say so on screen when the bag stops taking things	Δείξε το στην οθόνη όταν η τσάντα σταματήσει να δέχεται πράγματα
scan %.1f ms	σάρωση %.1f ms
Scan radius	Ακτίνα σάρωσης
Scans %ld, events sent %ld, pump ticks %ld, guarded faults %ld, node kinds learned %d	Σαρώσεις %ld, συμβάντα στάλθηκαν %ld, pump ticks %ld, φυλαγμένα σφάλματα %ld, είδη κόμβων μαθεύτηκαν %d
Scans per second	Σαρώσεις ανά δευτερόλεπτο
search item name or key (3+ letters)	αναζήτησε όνομα ή κλειδί αντικειμένου (3+ γράμματα)
Sending events	Αποστολή συμβάντων
Set	Ορισμός
Settings: %ls	Ρυθμίσεις: %ls
Show a brief notice when auto-loot is toggled	Δείξε σύντομη ειδοποίηση όταν αλλάζει το αυτόματο λουτ
Showing current overrides. Type to search all %d items.	Εμφανίζονται οι τρέχουσες παρακάμψεις. Πληκτρολόγησε για αναζήτηση σε όλα τα %d αντικείμενα.
Showing the nearest %d of %d. The rest are further away.	Εμφανίζονται τα %d πιο κοντινά από %d. Τα υπόλοιπα είναι πιο μακριά.
Skip all	Παράλειψη όλων
Skip items shops refuse to buy	Παράλειψε αντικείμενα που τα μαγαζιά αρνούνται να αγοράσουν
Skip quest items	Παράλειψε αντικείμενα αποστολής
skip: %s	παράλειψη: %s
Small animals	Μικρά ζώα
small animals off	μικρά ζώα ανενεργά
Some world objects carry no readable item name. On: take them anyway. Off: leave anything unidentified.	Κάποια αντικείμενα του κόσμου δεν έχουν αναγνώσιμο όνομα αντικειμένου. Ενεργό: πάρ' τα ούτως ή άλλως. Ανενεργό: άφησε ό,τι είναι αταύτιστο.
stack at one point (storage contents)	στοίβα σε ένα σημείο (περιεχόμενα αποθήκευσης)
Status	Κατάσταση
Stone	Πέτρα
stone off	πέτρα ανενεργή
Stone on the ground and nodes that yield stone.	Πέτρα στο έδαφος και κόμβοι που αποδίδουν πέτρα.
