# Tekst menu Master Looter po polsku (pl).
#
# To jest tłumaczenie maszynowe wykonane przez Claude, sztuczną inteligencję
# firmy Anthropic. Nikt jeszcze nie sprawdził go pod kątem poprawności
# językowej jako native speaker. Poprawki są mile widziane na GitHubie
# (github.com/shin2344234/master-looter) albo na stronie moda na Nexusie.
#
# Jeden wpis na wiersz: oryginał po angielsku, tabulator, a potem tłumaczenie.
# Wiersze zaczynające się od # są pomijane, \n oznacza podział wiersza, a
# wiersz bez tłumaczenia po tabulatorze pozostaje wyświetlany po angielsku,
# więc plik nieukończony w połowie da się normalnie używać.
# Każdy %d, %s, %.1f i podobny znacznik musi zostać zachowany dokładnie i w
# tej samej kolejności: w czasie działania wstawiane są tam liczby i nazwy,
# a wiersz, który je zmienia, jest ignorowany przy wczytywaniu.
#
# Plik o tej nazwie umieszczony obok MasterLooter.asi zastępuje wbudowaną
# kopię.
  bag full	  torba pełna
Breaking drives the game's own state machine at the vein, the swing landing and then the break, so the node spills its contents on the ground and disappears exactly as it does under a pickaxe. Emptying instead lifts the ore straight out and skips the drop entirely. Neither route pays your tool's Mining Yield Up, which the game only grants to a swing it counts as yours, so set the extra below to make up the difference. Each vein is struck once and then left alone until the game respawns it.	Rozbicie uruchamia własną maszynę stanów gry przy żyle: najpierw trafienie, potem pęknięcie, więc punkt wysypuje swoją zawartość na ziemię i znika dokładnie tak, jak pod kilofem. Opróżnianie zamiast tego wyciąga rudę wprost, całkowicie pomijając upuszczenie. Żadna z tych metod nie uwzględnia bonusu Zwiększone wydobycie z twojego narzędzia, który gra przyznaje tylko uderzeniu uznanemu za twoje, więc ustaw poniższy dodatek, aby zrównoważyć różnicę. Każda żyła jest trafiana raz, a potem zostawiana w spokoju, dopóki gra jej nie odnowi.
Butterflies, beetles, dragonflies, bees, spiders, scorpions, snails and the other small things the game files as insects. Species come from the creature table; a creature the table cannot name is only caught when every category it could belong to is on (a flyer could be a fish, an insect or a bird).	Motyle, chrząszcze, ważki, pszczoły, pająki, skorpiony, ślimaki i inne drobne stworzenia, które gra klasyfikuje jako owady. Gatunki pochodzą z tabeli stworzeń; stworzenie, którego tabela nie potrafi nazwać, jest łapane tylko wtedy, gdy włączone są wszystkie kategorie, do których mogłoby należeć (coś latającego może być rybą, owadem albo ptakiem).
captured	przechwycono
Carcasses	Padlina
carcasses off	padlina wyłączona
Catching	Łapanie
Caught creatures, live or lying around; a creature the table can name follows its class rule. Crabs, shrimp and squid are seafood under Food and drink.	Złapane stworzenia, żywe lub leżące w pobliżu; stworzenie, które tabela potrafi nazwać, podlega regule swojej klasy. Kraby, krewetki i kałamarnice to owoce morza w kategorii Jedzenie i napoje.
Chests, crates and drop-set nodes. They rarely respond to the loot event. Off by default.	Skrzynie, skrzynki i punkty zestawów upuszczanych przedmiotów. Rzadko reagują na zdarzenie zbierania. Domyślnie wyłączone.
Class	Klasa
class %s	klasa %s
Classes	Klasy
Clear	Wyczyść
Clear overrides	Wyczyść nadpisania
Clears what this session worked out from your bag. Nodes named by the prefab table are unaffected.	Czyści to, co ta sesja ustaliła na podstawie twojej torby. Punkty nazwane przez tabelę prefabów pozostają bez zmian.
Close	Zamknij
container (off)	pojemnik (wyłączony)
Containers	Pojemniki
Controller	Kontroler
Copper	Miedziaki
Copy	Kopiuj
Copy path	Kopiuj ścieżkę
Copy to the clipboard.	Kopiuje do schowka.
corpse	zwłoki
corpse already searched	zwłoki już przeszukane
corpse: loot drops separately	zwłoki: łup spada osobno
creature	stworzenie
Creatures	Stworzenia
Crops	Uprawy
crops off	uprawy wyłączone
Damaged gear	Uszkodzony ekwipunek
Dead zone around you	Martwa strefa wokół ciebie
Decision	Decyzja
default	domyślne
DirectX 12 hooks	Haki DirectX 12
does not respond	nie odpowiada
Draw water from wells	Czerp wodę ze studni
Engine	Silnik
English	Angielski
English. %d line(s) seen this session.	Angielski. %d wiersz(y) widziano w tej sesji.
entity	encja
entity %08X	encja %08X
entity %08X, %d items across every store	encja %08X, %d przedmiotów we wszystkich magazynach
entity %08X, bag %d of %d slots, %d items across every store	encja %08X, torba %d z %d miejsc, %d przedmiotów we wszystkich magazynach
Event descriptors	Deskryptory zdarzeń
Extra ore per vein	Dodatkowa ruda z żyły
failed	niepowodzenie
fast-travel artifact	artefakt szybkiej podróży
filter classes	filtruj klasy
filter tags	filtruj etykiety
Filters	Filtry
Fish	Ryby
fish off	ryby wyłączone
Fish, and whatever else you catch in the water: crabs, shrimp, squid, starfish and seahorses.	Ryby i wszystko inne, co złowisz w wodzie: kraby, krewetki, kałamarnice, rozgwiazdy i konie morskie.
Food and drink	Jedzenie i napoje
Forget	Zapomnij
found	znaleziono
Furniture	Meble
Furniture and decor	Meble i dekoracje
furniture node (off)	punkt mebla (wyłączony)
furniture off	meble wyłączone
Game functions	Funkcje gry
Game functions did not resolve; see Status.	Funkcje gry nie zostały rozpoznane; zobacz Status.
Game-thread pump	Przetwarzanie w wątku gry
gather node	punkt zbierania
Gathering	Zbieranie
Ground items	Przedmioty na ziemi
Groups	Grupy
Herb, flower and mushroom nodes, and the same lying on the ground. Food crops have their own switch.	Punkty ziół, kwiatów i grzybów, a także te same przedmioty leżące na ziemi. Uprawy spożywcze mają własny przełącznik.
hold two buttons (Escape cancels)	przytrzymaj dwa przyciski (Escape anuluje)
Household clutter and collectibles, most of it worthless.	Domowe drobiazgi i przedmioty kolekcjonerskie, w większości bezwartościowe.
How full the bag is is read from the bag itself, so the notice appears the moment it fills, whether or not you are looting. If those numbers ever stop making sense the mod falls back to watching what happens after a pick-up: three in a row that reach nothing raise the notice, and one landing clears it.	Zapełnienie torby jest odczytywane bezpośrednio z niej samej, więc powiadomienie pojawia się w chwili jej zapełnienia, niezależnie od tego, czy akurat zbierasz łup. Jeśli te liczby kiedykolwiek przestaną mieć sens, mod zaczyna obserwować, co dzieje się po podniesieniu przedmiotu: trzy próby z rzędu, które nic nie dają, wywołują powiadomienie, a jedna udana je usuwa.
How often the scene is read. The scan runs on its own thread; only the final take costs the game a fraction of a millisecond.	Jak często odczytywana jest scena. Skanowanie działa we własnym wątku; grę kosztuje tylko ostateczne przetworzenie wyniku, czyli ułamek milisekundy.
incomplete	niekompletne
Insects	Owady
insects off	owady wyłączone
installed	zainstalowano
Item	Przedmiot
Item database	Baza danych przedmiotów
Item table	Tabela przedmiotów
Items	Przedmioty
Items lying in the world, including drops from enemies.	Przedmioty leżące w świecie gry, w tym te upuszczane przez wrogów.
Items no shop will buy, across every class.	Przedmioty, których nie kupi żaden sklep, niezależnie od klasy.
Items on the ground	Przedmioty na ziemi
Items tagged quest are left alone, so puzzles and story pickups are not auto-taken. This reads the item's own tags, so it covers anything picked up, gathered or broken open. Skinning a carcass is outside it: that yield arrives without the mod ever seeing what it is.	Przedmioty oznaczone jako zadaniowe są pomijane, więc elementy łamigłówek i przedmioty fabularne nie są zbierane automatycznie. Odczytywane są własne etykiety przedmiotu, więc obejmuje to wszystko, co podniesione, zebrane lub wydobyte z rozbicia. Oprawianie padliny jest poza tym: ten łup dociera bez wiedzy moda, czym właściwie jest.
Items with an unknown value are never filtered by it.	Przedmioty o nieznanej wartości nigdy nie są przez to filtrowane.
Keep the menu on screen while you play. %s brings it back, %s closes it.	Utrzymuje menu na ekranie podczas gry. %s przywraca je, %s zamyka.
Keys	Klawisze
Keys and tools	Klucze i narzędzia
Language	Język
Language \"%s\": %d line(s) translated, %d seen this session.	Język \"%s\": %d wiersz(y) przetłumaczono, %d widziano w tej sesji.
learned from the game	rozpoznano na podstawie gry
Load	Wczytaj
loaded	wczytano
locked	zablokowane
Log	Dziennik
Log: %ls	Dziennik: %ls
Loot	Łup
Loot all	Zbierz wszystko
Loot engine	Silnik zbierania
Loot engine not started.	Silnik zbierania nie został uruchomiony.
Loot everything in range now	Zbierz teraz wszystko w zasięgu
Loot everything in range once	Zbierz raz wszystko w zasięgu
loot: %s	łup: %s
MASTER LOOTER	MASTER LOOTER
Master Looter v%s for game build %s	Master Looter v%s dla wersji gry %s
Materials	Materiały
mechanism part	część mechanizmu
Memory chips and puzzle parts	Chipy pamięci i elementy łamigłówek
Mine ore veins for you	Wydobywaj żyły rudy za ciebie
Minimum value (copper)	Minimalna wartość (miedziaki)
missing	brak
missing MasterLooter.items.tsv	brak pliku MasterLooter.items.tsv
mission object	obiekt misji
Mounts and vehicles	Wierzchowce i pojazdy
name a new preset	nazwij nowy profil
never	nigdy
no	nie
no interaction node	brak punktu interakcji
Nodes the prefab table does not name and that have not yielded anything yet this session. Off (the default) leaves them alone. On makes the mod gather them to find out, which means a plant can be taken while Plants is off.	Punkty, których tabela prefabów nie nazywa i które w tej sesji jeszcze niczego nie wydały. Wyłączone (domyślnie) zostawia je w spokoju. Włączone sprawia, że mod je zbiera, by sprawdzić, co to jest, co oznacza, że roślina może zostać zebrana, nawet gdy Rośliny są wyłączone.
none	brak
not found yet	jeszcze nie znaleziono
not in item database	nie ma w bazie danych przedmiotów
not ready (node empty)	niegotowe (punkt pusty)
not resolved yet	jeszcze nie rozpoznano
not started	nie uruchomiono
not yet	jeszcze nie
Nothing else is drawn while the menu is closed.	Nic innego nie jest rysowane, gdy menu jest zamknięte.
nothing taken yet this session	w tej sesji jeszcze niczego nie zebrano
Object	Obiekt
object	obiekt
Objects are listed nearest first, with the rule that decided each one. Empty nodes read as not ready until the game or arming fills them. What you are wearing and carrying is left out.	Obiekty są wymienione od najbliższego, wraz z regułą, która o każdym z nich zadecydowała. Puste punkty są odczytywane jako niegotowe, dopóki gra lub aktywacja ich nie wypełni. To, co masz na sobie i przy sobie, jest pomijane.
Objects closer than this are treated as your own equipment. A safety net; your gear is also recognised by other means.	Obiekty bliższe niż ta wartość są traktowane jako twój własny ekwipunek. To siatka bezpieczeństwa; twój sprzęt jest też rozpoznawany innymi sposobami.
Objects per burst press	Obiektów na jedno naciśnięcie
Objects per scan	Obiektów na skanowanie
on the player	na graczu
On, a vein is harvested where it stands and you never swing a pickaxe. Off, veins are left alone and only the chunks you knock loose are picked up. Needs arming, since asking the vein to open is the whole trick.	Włączone: żyła jest wydobywana tam, gdzie stoi, i nigdy nie zamachujesz się kilofem. Wyłączone: żyły są zostawiane w spokoju, a zbierane są tylko odłamki, które sam wykruszysz. Wymaga aktywacji, bo cała sztuczka polega na poproszeniu żyły, by się otworzyła.
On, the overlay draws under DLSS frame generation, which needs this mod to hand the game a wrapped swapchain.\n\nOff, the overlay draws through the present hook instead. Everything looks the same unless frame generation is on, and the mod stays off a path other overlay mods patch as well. Try this if the game will not start alongside another overlay mod; it can be set as WrapSwapChain in MasterLooter.ini without launching the game.	Włączone: nakładka jest rysowana pod generowaniem klatek DLSS, co wymaga, by ten mod przekazał grze opakowany swapchain.\n\nWyłączone: nakładka jest zamiast tego rysowana przez hak prezentacji. Wszystko wygląda tak samo, chyba że generowanie klatek jest włączone, a mod omija ścieżkę, którą łatają też inne mody nakładek. Wypróbuj to, jeśli gra nie chce uruchomić się razem z innym modem nakładki; można to też ustawić jako WrapSwapChain w MasterLooter.ini bez uruchamiania gry.
One backup is written each time the game starts and the last twelve are kept, in MasterLooter.backups next to the plugin. Presets sit in MasterLooter.presets. Copy either folder to keep it across a reinstall.	Jedna kopia zapasowa jest zapisywana przy każdym uruchomieniu gry, a ostatnie dwanaście jest zachowywanych, w folderze MasterLooter.backups obok wtyczki. Profile znajdują się w MasterLooter.presets. Skopiuj dowolny z tych folderów, aby zachować go po ponownej instalacji.
One click per family. The table below still sets single classes; a group shows a dash when only some of it is on.	Jedno kliknięcie na całą rodzinę. Poniższa tabela nadal ustawia pojedyncze klasy; grupa pokazuje myślnik, gdy włączona jest tylko jej część.
Open and close this menu	Otwórz i zamknij to menu
Open folder	Otwórz folder
Opens the folder in Explorer. The log is rewritten every launch and is what to attach to a report.	Otwiera folder w Eksploratorze. Dziennik jest nadpisywany przy każdym uruchomieniu i to właśnie jego należy dołączyć do zgłoszenia.
Ore	Ruda
Ore chunks on the ground and any node that yields ore, veins included. A vein is broken where it stands and its contents picked up off the floor, which is what your pickaxe does and what makes a better pickaxe worth carrying: the tool's Mining Yield Up applies to the drop, not to the node. Each vein is struck once and left alone until the game brings it back. Reaching for veins starts as far out as the scan can see, because they take seconds to answer where a bush takes a fraction of one.	Kawałki rudy na ziemi oraz każdy punkt, który wydaje rudę, w tym żyły. Żyła jest rozbijana tam, gdzie stoi, a jej zawartość jest podnoszona z ziemi, dokładnie tak jak robi to twój kilof, i dlatego warto nosić lepszy kilof: bonus Zwiększone wydobycie narzędzia działa na upuszczoną rudę, a nie na sam punkt. Każda żyła jest trafiana raz, a potem zostawiana w spokoju, dopóki gra jej nie przywróci. Sięganie po żyły zaczyna się od granicy zasięgu skanowania, bo odpowiadają one dopiero po kilku sekundach, podczas gdy krzew potrzebuje na to ułamka sekundy.
ore off	ruda wyłączona
Ore, gems, stone, timber, hides, herbs, trade goods and other crafting input.	Ruda, klejnoty, kamień, drewno, skóry, zioła, towary handlowe i inne surowce rzemieślnicze.
out of range	poza zasięgiem
Overlay	Nakładka
Override	Nadpisanie
owned by someone (theft)	należy do kogoś (kradzież)
Ownership	Własność
Ownership oracle	Weryfikator własności
Pace	Tempo
part of a creature or a mechanism	część stworzenia lub mechanizmu
paused: %s	wstrzymano: %s
pick up off	podnoszenie wyłączone
Plants	Rośliny
plants off	rośliny wyłączone
Player	Gracz
Player equipment.	Ekwipunek gracza.
Player not found in the scene yet.	Gracz nie został jeszcze znaleziony w scenie.
Presets	Profile
press a key (Escape cancels)	naciśnij klawisz (Escape anuluje)
Protected by default: a memory chip starts a memory scene when taken, and a puzzle part breaks its puzzle. Turn on only if you want them auto-taken.	Domyślnie chronione: chip pamięci uruchamia scenę wspomnień po podniesieniu, a element łamigłówki niszczy tę łamigłówkę. Włącz tylko wtedy, gdy chcesz, by były zbierane automatycznie.
protected item name	nazwa chronionego przedmiotu
Puts every setting and rule back to what it was at that moment.	Przywraca wszystkie ustawienia i reguły do stanu z tamtej chwili.
puzzle or protected mechanism	łamigłówka lub chroniony mechanizm
Quest items	Przedmioty zadaniowe
quest or memory trigger	wyzwalacz zadania lub wspomnienia
Ranges (metres)	Zasięgi (metry)
Rats, squirrels, birds, lizards, frogs and salamanders: anything else the game puts in the bag whole.	Szczury, wiewiórki, ptaki, jaszczurki, żaby i salamandry: wszystko inne, co gra wkłada do torby w całości.
Reaching nodes	Sięganie po punkty
Read from the file beside the plugin, not the copy inside it.	Odczytywane z pliku obok wtyczki, a nie z kopii wbudowanej w nią.
Rebind	Zmień przypisanie
Recent loot	Ostatni łup
Refresh	Odśwież
Reload now	Wczytaj ponownie teraz
Replaces every setting and every class, tag and item rule with what the preset holds, and writes it to MasterLooter.ini. Nothing of the current settings is kept, so back them up first if you want them.	Zastępuje wszystkie ustawienia oraz wszystkie reguły klas, etykiet i przedmiotów tym, co zawiera profil, i zapisuje to w MasterLooter.ini. Nic z bieżących ustawień nie zostaje zachowane, więc jeśli chcesz je zachować, zrób najpierw ich kopię.
Reset all tags	Zresetuj wszystkie etykiety
resolved	rozpoznano
Retry the same object after (ms)	Ponów ten sam obiekt po (ms)
Route id	Id trasy
Rule	Reguła
Save now	Zapisz teraz
Saved as \"%s\": a preset name keeps letters, digits, spaces, dashes and underscores.	Zapisano jako \"%s\": nazwa profilu może zawierać litery, cyfry, spacje, myślniki i podkreślenia.
Say so on screen when the bag stops taking things	Pokaż na ekranie, gdy torba przestaje przyjmować przedmioty
scan %.1f ms	skanowanie %.1f ms
Scan radius	Promień skanowania
Scans %ld, events sent %ld, pump ticks %ld, guarded faults %ld, node kinds learned %d	Skanowań: %ld, wysłanych zdarzeń: %ld, cykli przetwarzania: %ld, zabezpieczonych błędów: %ld, rozpoznanych rodzajów punktów: %d
Scans per second	Skanowań na sekundę
search item name or key (3+ letters)	szukaj nazwy lub klucza przedmiotu (3+ litery)
Sending events	Wysyłanie zdarzeń
Set	Ustaw
Settings: %ls	Ustawienia: %ls
Show a brief notice when auto-loot is toggled	Pokaż krótkie powiadomienie po przełączeniu automatycznego zbierania
Showing current overrides. Type to search all %d items.	Wyświetlono bieżące nadpisania. Wpisz tekst, aby przeszukać wszystkie %d przedmiotów.
Showing the nearest %d of %d. The rest are further away.	Wyświetlono %d najbliższych z %d. Reszta jest dalej.
Skip all	Pomiń wszystko
Skip items shops refuse to buy	Pomijaj przedmioty, których nie kupują sklepy
Skip quest items	Pomijaj przedmioty zadaniowe
skip: %s	pomiń: %s
Small animals	Małe zwierzęta
small animals off	małe zwierzęta wyłączone
Some world objects carry no readable item name. On: take them anyway. Off: leave anything unidentified.	Niektóre obiekty świata nie mają czytelnej nazwy przedmiotu. Włączone: zbieraj je mimo to. Wyłączone: zostaw wszystko nierozpoznane.
stack at one point (storage contents)	stos w jednym miejscu (zawartość magazynu)
Stone	Kamień
stone off	kamień wyłączony
Stone on the ground and nodes that yield stone.	Kamień na ziemi oraz punkty, które wydają kamień.
Tables, chairs, beds, carpets, lamps, candles, paintings, pots and the rest of a furnished room, whether you pick one up off the floor or take it from its own interaction node. Most of it is worth a copper or two, but the carpets and the luxury beds run to thousands, so turn this on before furnishing a house. Chests and the other things that hold something answer to Containers instead. Off by default.	Stoły, krzesła, łóżka, dywany, lampy, świece, obrazy, wazony i reszta umeblowanego pomieszczenia, niezależnie od tego, czy podnosisz coś z podłogi, czy bierzesz je z jego własnego punktu interakcji. Większość jest warta miedziak lub dwa, ale dywany i luksusowe łóżka sięgają tysięcy, więc włącz to przed umeblowaniem domu. Skrzynie i inne rzeczy, które coś przechowują, podlegają zamiast tego kategorii Pojemniki. Domyślnie wyłączone.
Tag	Etykieta
tags, any of which can be set to never in the Tags tab:	etykiety, z których każdą można ustawić na „nigdy” w zakładce Etykiety:
Take goods that belong to someone	Zbieraj rzeczy należące do kogoś
Take goods that belong to someone, on / off	Zbieranie rzeczy należących do kogoś wł. / wył.
Take items the database cannot name	Zbieraj przedmioty, których baza danych nie potrafi nazwać
Take owned goods on / off	Zbieranie cudzego mienia wł. / wył.
takes effect next launch	zacznie działać po następnym uruchomieniu
The engine scans around you and takes what the rules allow. Off means nothing is taken automatically; the burst key still works.	Silnik skanuje otoczenie i zbiera to, na co pozwalają reguły. Wyłączone oznacza, że nic nie jest zbierane automatycznie; klawisz szybkiego zbierania nadal działa.
The game fills a node's data only when it thinks you can reach it. Arming asks it to do that from a distance, which is also what lets an ore vein be harvested where it stands. Veins take several seconds to answer where a bush takes a fraction of one.	Gra wypełnia dane punktu tylko wtedy, gdy uzna, że możesz go dosięgnąć. Aktywacja prosi ją, by zrobiła to z oddali, co pozwala też wydobyć żyłę rudy tam, gdzie stoi. Żyły odpowiadają po kilku sekundach, podczas gdy krzew potrzebuje na to ułamka sekundy.
The game removes taken objects with a delay. This stops the same object being sent twice while it fades.	Gra usuwa zebrane obiekty z opóźnieniem. To zapobiega dwukrotnemu wysłaniu tego samego obiektu, zanim zniknie.
The game treats this as stealing and will put a bounty on you.	Gra traktuje to jako kradzież i nałoży na ciebie nagrodę.
The mod never swings a pickaxe. It drives the vein's own break sequence, and the game walks one drop row for that where a real swing walks two, so your mining tool's bonus pays nothing when the mod does the mining. This adds the missing ore back through the same drop path the game uses, so it is real ore spilled on the ground, not an item copied into your bag. Set it to what your tool pays by hand minus one: a drill that gives three by hand wants 2 here. It only applies to a vein this mod broke, so mining by hand is untouched and the two cannot stack.	Mod nigdy nie zamachuje się kilofem. Uruchamia własną sekwencję pęknięcia żyły, a gra przechodzi wtedy przez jeden wiersz upuszczenia, podczas gdy prawdziwy zamach przechodzi przez dwa, więc bonus twojego narzędzia górniczego nic nie daje, gdy to mod wydobywa rudę. Ta opcja dokłada brakującą rudę tą samą ścieżką upuszczania, której używa gra, więc jest to prawdziwa ruda wysypana na ziemię, a nie przedmiot skopiowany do twojej torby. Ustaw ją na to, co twoje narzędzie daje ręcznie, minus jeden: wiertło, które ręcznie daje trzy, chce tutaj 2. Dotyczy to tylko żyły rozbitej przez ten mod, więc wydobycie ręczne pozostaje nietknięte i oba bonusy nie mogą się sumować.
The skinning interaction, once per carcass. Human corpses drop ordinary loot instead. What skinning pays out is not checked against your filters. The mod never sees it before it lands, so this switch is all or nothing.	Interakcja oprawiania, raz na padlinę. Ludzkie zwłoki zamiast tego upuszczają zwykły łup. To, co daje oprawianie, nie jest sprawdzane pod kątem twoich filtrów. Mod nigdy tego nie widzi, zanim to wyląduje, więc ten przełącznik działa na zasadzie wszystko albo nic.
This session: %ld picked up, %ld gathered, %ld caught, %ld carcasses	W tej sesji: podniesiono %ld, zebrano %ld, złapano %ld, padlina: %ld
Timber and branches on the ground and nodes that yield them.	Drewno i gałęzie na ziemi oraz punkty, które je wydają.
To leave one species alone, set what it becomes to never on the Items tab: Item_Tench, Item_Ricefish, Item_Iguana. The mod reads the creature's own row in the game's character table, so it knows which species it is looking at before it catches anything. A few unusual creatures still fall back to guessing from their model name and are caught by category only.	Aby zostawić jeden gatunek w spokoju, ustaw na „nigdy” to, w co się zamienia, w zakładce Przedmioty: Item_Tench, Item_Ricefish, Item_Iguana. Mod odczytuje własny wiersz stworzenia w tabeli postaci gry, więc wie, na jaki gatunek patrzy, zanim cokolwiek złapie. Kilka nietypowych stworzeń nadal opiera się na domysłach z nazwy modelu i jest łapanych tylko według kategorii.
Treasure and keepsakes	Skarby i pamiątki
Two buttons at once, never one: every single button already does something in this game. The mod only reads the pad, so the game still sees both buttons. Pick a pair that does nothing together, like the two shoulder buttons, or Back and a face button.	Dwa przyciski naraz, nigdy jeden: każdy pojedynczy przycisk już coś robi w tej grze. Mod tylko odczytuje pad, więc gra nadal widzi oba przyciski. Wybierz parę, która razem nic nie robi, na przykład oba przyciski na barkach albo Back i jeden z przycisków twarzy.
Unbound until you set it. The game calls taking owned goods stealing and puts a bounty on you for it, so this is the switch you want on for a moment and off again, which is a poor fit for a menu.	Nieprzypisane, dopóki go nie ustawisz. Gra nazywa zabieranie cudzego mienia kradzieżą i nakłada za to na ciebie nagrodę, więc to przełącznik, który chcesz włączyć na chwilę i zaraz wyłączyć, co słabo pasuje do menu.
Unidentified nodes	Nierozpoznane punkty
unidentified nodes off	nierozpoznane punkty wyłączone
unidentified: could be a fish, a flying insect or a bird	nierozpoznane: może być rybą, latającym owadem albo ptakiem
unidentified: could be an insect or a small animal	nierozpoznane: może być owadem albo małym zwierzęciem
unnamed item	przedmiot bez nazwy
Unsellable items	Przedmioty niesprzedawalne
Use this language	Użyj tego języka
Uses the game's own Take or Steal check; owned goods are skipped until it has been observed once.	Wykorzystuje własne sprawdzenie gry Zabierz lub Ukradnij; cudze mienie jest pomijane, dopóki nie zostanie raz zaobserwowane.
using the player's own field	wykorzystując własne pole gracza
Vegetables, fruit and grain: sweet potato, barley, cabbage, apples, grapes and the rest of the farmed and foraged food, on the plant or lying loose. These used to answer to Ground items, which is why turning Plants off still emptied a field: of the 72 collection sockets in the game, 44 are crops and only 28 are plants.	Warzywa, owoce i zboża: bataty, jęczmień, kapusta, jabłka, winogrona i reszta uprawianej oraz zbieranej żywności, zarówno na roślinie, jak i luzem na ziemi. Kiedyś podlegały kategorii Przedmioty na ziemi, dlatego wyłączenie Roślin nadal opróżniało pole: z 72 gniazd zbierania w grze 44 to uprawy, a tylko 28 to rośliny.
Verbose log	Szczegółowy dziennik
Verdict	Werdykt
waiting	oczekiwanie
waiting for the game to check an item	czekanie, aż gra sprawdzi przedmiot
