# A Master Looter menü szövege magyarul.
# Ez egy gépi fordítás, amelyet Claude, az Anthropic mesterséges
# intelligenciája készített, és eddig még nem nézte át anyanyelvi
# beszélő. A javításokat szívesen fogadjuk a GitHubon
# (github.com/shin2344234/master-looter) vagy a mod Nexus oldalán.
#
# Soronként egy szöveg: az angol eredeti, egy tabulátor, majd a
# fordítás. A \n egy sortörést jelent. A # karakterrel kezdődő sorok
# figyelmen kívül maradnak. Egy sor, amiben a tabulátor után nincs
# semmi, angolul marad, így egy félkész fájl is tökéletesen
# használható. Minden %d, %s és hasonló jelölőt pontosan úgy kell
# megtartani, ahogy szerepel, mert futás közben ezek helyére kerülnek
# a valódi számok és nevek.
#
# Mentsd MasterLooter.<nyelv>.txt néven a plugin mellé, például
# MasterLooter.hu.txt, majd állítsd be Language=hu értékkel a
# MasterLooter.ini fájlban, vagy írd be a nyelvet az Általános fülön a
# Nyelv mezőbe. Egy ilyen nevű fájl a MasterLooter.asi mellett
# felülírja a pluginba beépített másolatot.

  bag full	  táska tele
Household clutter and collectibles, most of it worthless.	Háztartási limlom és gyűjthető tárgyak, ezek nagy része értéktelen.
How full the bag is is read from the bag itself, so the notice appears the moment it fills, whether or not you are looting. If those numbers ever stop making sense the mod falls back to watching what happens after a pick-up: three in a row that reach nothing raise the notice, and one landing clears it.	A táska teltségét magából a táskából olvassuk ki, ezért az értesítés abban a pillanatban megjelenik, amikor megtelik, akár lootolsz éppen, akár nem. Ha ezek a számok valaha értelmetlenné válnának, a mod visszavált arra, hogy figyeli, mi történik felvétel után: három egymás utáni sikertelen próbálkozás megjeleníti az értesítést, egy sikeres pedig eltünteti.
How often the scene is read. The scan runs on its own thread; only the final take costs the game a fraction of a millisecond.	Milyen gyakran olvassuk be a jelenetet. A pásztázás saját thread-en fut; csak a végső feldolgozás kerül a játéknak egy ezredmásodperc töredékébe.
incomplete	hiányos
Insects	Rovarok
insects off	rovarok kikapcsolva
installed	telepítve
Item	Tárgy
Item database	Tárgyadatbázis
Item table	Tárgytábla
Items	Tárgyak
Items lying in the world, including drops from enemies.	A világban heverő tárgyak, beleértve az ellenségek által ejtett tárgyakat is.
Items no shop will buy, across every class.	Tárgyak, amelyeket egyetlen bolt sem vesz meg, bármely kategóriában.
Items on the ground	Földön heverő tárgyak
Items tagged quest are left alone, so puzzles and story pickups are not auto-taken. This reads the item's own tags, so it covers anything picked up, gathered or broken open. Skinning a carcass is outside it: that yield arrives without the mod ever seeing what it is.	A küldetés címkével ellátott tárgyakat békén hagyjuk, így a rejtvényekhez és a történethez tartozó tárgyakat nem vesszük fel automatikusan. Ez a tárgy saját címkéit olvassa, így mindenre kiterjed, amit felveszel, összegyűjtesz vagy feltörsz. A tetem nyúzása kívül esik ezen: az abból származó zsákmány úgy érkezik, hogy a mod sosem látja, mi az.
Items with an unknown value are never filtered by it.	Az ismeretlen értékű tárgyakat ez sosem szűri ki.
Keep the menu on screen while you play. %s brings it back, %s closes it.	Tartsd a menüt a képernyőn, miközben játszol. A(z) %s visszahozza, a(z) %s bezárja.
Keys	Kulcsok
Keys and tools	Kulcsok és szerszámok
Language	Nyelv
Language \"%s\": %d line(s) translated, %d seen this session.	\"%s\" nyelv: %d sor lefordítva, %d látva ebben a munkamenetben.
learned from the game	a játékból megtanulva
Load	Betöltés
loaded	betöltve
locked	zárolva
Log	Napló
Log: %ls	Napló: %ls
Loot	Loot
Loot all	Összes lootolása
Loot engine	Loot motor
Loot engine not started.	A loot motor nem indult el.
Loot everything in range now	Minden lootolása hatótávon belül most
Loot everything in range once	Minden lootolása hatótávon belül egyszer
loot: %s	zsákmány: %s
Looting	Lootolás
MASTER LOOTER	MASTER LOOTER
Master Looter v%s for game build %s	Master Looter v%s a(z) %s játékverzióhoz
Materials	Alapanyagok
mechanism part	mechanizmus alkatrésze
Memory chips and puzzle parts	Memóriachipek és rejtvénydarabok
Mine ore veins for you	Ércerek bányászata helyetted
Minimum value (copper)	Minimum érték (réz)
missing	hiányzik
missing MasterLooter.items.tsv	hiányzik a MasterLooter.items.tsv
mission object	küldetéstárgy
Mounts and vehicles	Hátasok és járművek
name a new preset	add meg az új profil nevét
Nearby	Közelben
never	soha
no	nem
no interaction node	nincs interakciós pont
Nodes the prefab table does not name and that have not yielded anything yet this session. Off (the default) leaves them alone. On makes the mod gather them to find out, which means a plant can be taken while Plants is off.	Pontok, amelyeket a prefab tábla nem nevez meg, és amelyek ebben a munkamenetben még nem adtak semmit. Kikapcsolva (alapértelmezett) békén hagyjuk őket. Bekapcsolva a mod összegyűjti őket, hogy kiderítse, mik azok, ami azt jelenti, hogy egy növényt akkor is felvehet, ha a Növények ki van kapcsolva.
none	nincs
not found yet	még nem található
not in item database	nincs a tárgyadatbázisban
not ready (node empty)	nem kész (a pont üres)
not resolved yet	még nincs feloldva
not started	nem indult el
not yet	még nem
Nothing else is drawn while the menu is closed.	Amíg a menü zárva van, semmi más nem jelenik meg.
nothing taken yet this session	ebben a munkamenetben még semmit sem vettünk fel
Object	Objektum
object	objektum
Objects are listed nearest first, with the rule that decided each one. Empty nodes read as not ready until the game or arming fills them. What you are wearing and carrying is left out.	Az objektumok a legközelebbitől kezdve vannak felsorolva, a szabállyal, amely az adott döntést hozta. Az üres pontok „nem kész” állapotúnak minősülnek, amíg a játék vagy az aktiválás fel nem tölti őket. Amit viselsz vagy nálad van, az nem szerepel a listában.
Objects closer than this are treated as your own equipment. A safety net; your gear is also recognised by other means.	Az ennél közelebbi objektumokat a saját felszerelésednek tekintjük. Ez egy biztonsági háló; a felszerelésedet más módokon is felismerjük.
Objects per burst press	Objektumok gombnyomásonként
Objects per scan	Objektumok pásztázásonként
on the player	a játékoson
On, a vein is harvested where it stands and you never swing a pickaxe. Off, veins are left alone and only the chunks you knock loose are picked up. Needs arming, since asking the vein to open is the whole trick.	Bekapcsolva egy ércér ott lesz learatva, ahol áll, és sosem lendíted meg a csákányt. Kikapcsolva az ércereket békén hagyjuk, és csak a kilazított darabokat vesszük fel. Aktiválást igényel, mert a lényeg éppen az, hogy megkérjük az ércért, hogy nyíljon ki.
On, the overlay draws under DLSS frame generation, which needs this mod to hand the game a wrapped swapchain.\n\nOff, the overlay draws through the present hook instead. Everything looks the same unless frame generation is on, and the mod stays off a path other overlay mods patch as well. Try this if the game will not start alongside another overlay mod; it can be set as WrapSwapChain in MasterLooter.ini without launching the game.	Bekapcsolva az overlay a DLSS képkocka-generálás alatt rajzol, ehhez a modnak be kell csomagolt swapchaint adnia a játéknak.\n\nKikapcsolva az overlay helyette a Present hookon keresztül rajzol. Minden ugyanúgy néz ki, hacsak a képkocka-generálás nincs bekapcsolva, és a mod távol marad egy olyan úttól, amit más overlay modok is patch-elnek. Próbáld ki ezt, ha a játék nem indul el egy másik overlay mod mellett; ez WrapSwapChain néven állítható be a MasterLooter.ini fájlban a játék elindítása nélkül.
One backup is written each time the game starts and the last twelve are kept, in MasterLooter.backups next to the plugin. Presets sit in MasterLooter.presets. Copy either folder to keep it across a reinstall.	Minden alkalommal, amikor a játék elindul, készül egy biztonsági mentés, és az utolsó tizenkettő megmarad a MasterLooter.backups mappában a plugin mellett. A profilok a MasterLooter.presets mappában vannak. Másold ki bármelyik mappát, ha újratelepítés után is meg akarod tartani.
One click per family. The table below still sets single classes; a group shows a dash when only some of it is on.	Egy kattintás egy családonként. Az alábbi táblázat továbbra is egyedi kategóriákat állít be; egy csoport vonást mutat, ha csak egy része van bekapcsolva.
Open and close this menu	Menü megnyitása és bezárása
Open folder	Mappa megnyitása
Opens the folder in Explorer. The log is rewritten every launch and is what to attach to a report.	Megnyitja a mappát az Intézőben. A napló minden indításkor újraíródik, ezt kell csatolni egy hibajelentéshez.
Ore	Érc
Ore chunks on the ground and any node that yields ore, veins included. A vein is broken where it stands and its contents picked up off the floor, which is what your pickaxe does and what makes a better pickaxe worth carrying: the tool's Mining Yield Up applies to the drop, not to the node. Each vein is struck once and left alone until the game brings it back. Reaching for veins starts as far out as the scan can see, because they take seconds to answer where a bush takes a fraction of one.	Ércdarabok a földön, és bármely pont, ami ércet ad, az ércereket is beleértve. Egy ércér ott törik fel, ahol áll, tartalmát pedig a földről vesszük fel; ez az, amit a csákányod is tesz, és ami miatt megéri jobb csákányt hordani: a szerszám Bányászati hozam növelése az ejtésre vonatkozik, nem a pontra. Minden ércér egyszer kap csapást, aztán békén hagyjuk, amíg a játék vissza nem hozza. Az ércerek elérése olyan messziről kezdődik, ameddig a pásztázás ellát, mert másodpercekig tart, amíg válaszolnak, míg egy bokornak ennek csak töredékéig.
ore off	érc kikapcsolva
Ore, gems, stone, timber, hides, herbs, trade goods and other crafting input.	Érc, drágakövek, kő, fa, bőrök, füvek, kereskedelmi áruk és más kézműves alapanyagok.
out of range	hatótávon kívül
Overlay	Overlay
Override	Felülbírálás
owned by someone (theft)	valaki tulajdona (lopás)
Ownership	Tulajdonjog
Ownership oracle	Tulajdon-orákulum
Pace	Ütem
part of a creature or a mechanism	egy lény vagy egy mechanizmus része
paused: %s	szüneteltetve: %s
pick up off	felvétel kikapcsolva
Plants	Növények
plants off	növények kikapcsolva
Player	Játékos
Player equipment.	Játékos felszerelése.
Player not found in the scene yet.	A játékos még nem található a jelenetben.
Presets	Profilok
press a key (Escape cancels)	nyomj meg egy billentyűt (Escape megszakítja)
Protected by default: a memory chip starts a memory scene when taken, and a puzzle part breaks its puzzle. Turn on only if you want them auto-taken.	Alapértelmezésben védett: egy memóriachip felvételkor elindít egy emlékjelenetet, egy rejtvénydarab pedig tönkreteszi a hozzá tartozó rejtvényt. Csak akkor kapcsold be, ha automatikusan fel akarod venni őket.
protected item name	védett tárgy neve
Puts every setting and rule back to what it was at that moment.	Minden beállítást és szabályt visszaállít arra, ami abban a pillanatban volt.
puzzle or protected mechanism	rejtvény vagy védett mechanizmus
Quest items	Küldetéstárgyak
quest or memory trigger	küldetés- vagy emlékkiváltó
Ranges (metres)	Hatótávok (méter)
Rats, squirrels, birds, lizards, frogs and salamanders: anything else the game puts in the bag whole.	Patkányok, mókusok, madarak, gyíkok, békák és szalamandrák: bármi más, amit a játék egészben tesz a táskába.
Reaching nodes	Pontok elérése
Read from the file beside the plugin, not the copy inside it.	A plugin mellett lévő fájlból olvasunk, nem a benne lévő másolatból.
Rebind	Újrakötés
Recent loot	Legutóbbi zsákmány
Refresh	Frissítés
Reload now	Újratöltés most
Replaces every setting and every class, tag and item rule with what the preset holds, and writes it to MasterLooter.ini. Nothing of the current settings is kept, so back them up first if you want them.	Lecseréli az összes beállítást, valamint minden kategória-, címke- és tárgyszabályt arra, amit a profil tartalmaz, és beírja a MasterLooter.ini fájlba. A jelenlegi beállításokból semmi sem marad meg, ezért ha meg akarod tartani őket, előbb mentsd el.
Reset all tags	Összes címke visszaállítása
resolved	feloldva
Retry the same object after (ms)	Ugyanaz az objektum újrapróbálva ennyi után (ms)
Route id	Route-azonosító
Rule	Szabály
Save now	Mentés most
Saved as \"%s\": a preset name keeps letters, digits, spaces, dashes and underscores.	Elmentve mint \"%s\": a profil neve betűket, számokat, szóközöket, kötőjeleket és aláhúzásjeleket tartalmazhat.
Say so on screen when the bag stops taking things	Jelezze a képernyőn, ha a táska nem vesz fel több tárgyat
scan %.1f ms	pásztázás %.1f ms
Scan radius	Pásztázási sugár
Scans %ld, events sent %ld, pump ticks %ld, guarded faults %ld, node kinds learned %d	Pásztázások: %ld, küldött események: %ld, pumpa tick-ek: %ld, elkapott hibák: %ld, felismert pont típusok: %d
Scans per second	Pásztázás másodpercenként
search item name or key (3+ letters)	keress tárgynévre vagy kulcsra (3+ betű)
Sending events	Események küldése
Set	Beállítás
Settings: %ls	Beállítások: %ls
Show a brief notice when auto-loot is toggled	Rövid értesítés megjelenítése az automatikus lootolás átkapcsolásakor
Showing current overrides. Type to search all %d items.	A jelenlegi felülbírálások láthatók. Gépelj a kereséshez mind a(z) %d tárgy között.
Showing the nearest %d of %d. The rest are further away.	A legközelebbi %d/%d jelenik meg. A többi messzebb van.
Skip all	Összes kihagyása
Skip items shops refuse to buy	Azon tárgyak kihagyása, amelyeket a boltok nem vesznek meg
Skip quest items	Küldetéstárgyak kihagyása
skip: %s	kihagyva: %s
Small animals	Kisállatok
small animals off	kisállatok kikapcsolva
Some world objects carry no readable item name. On: take them anyway. Off: leave anything unidentified.	Néhány világbeli objektumnak nincs olvasható tárgyneve. Bekapcsolva: mindenképp vedd fel őket. Kikapcsolva: hagyj békén mindent, ami azonosítatlan.
stack at one point (storage contents)	egy ponton halmozódik (tárolt tartalom)
Status	Állapot
Stone	Kő
stone off	kő kikapcsolva
Stone on the ground and nodes that yield stone.	Kő a földön, és pontok, amelyek követ adnak.
Tables, chairs, beds, carpets, lamps, candles, paintings, pots and the rest of a furnished room, whether you pick one up off the floor or take it from its own interaction node. Most of it is worth a copper or two, but the carpets and the luxury beds run to thousands, so turn this on before furnishing a house. Chests and the other things that hold something answer to Containers instead. Off by default.	Asztalok, székek, ágyak, szőnyegek, lámpák, gyertyák, festmények, edények és egy berendezett szoba minden más darabja, akár a földről veszed fel, akár a saját interakciós pontjáról. A legtöbbjük egy-két rezet ér, de a szőnyegek és a luxuságyak akár ezreket is érhetnek, ezért kapcsold be, mielőtt berendezel egy házat. A ládák és más tárolásra alkalmas dolgok inkább a Tárolókhoz tartoznak. Alapértelmezésben kikapcsolva.
Tag	Címke
Tags	Címkék
tags, any of which can be set to never in the Tags tab:	címkék, bármelyik beállítható sohára a Címkék fülön:
Take goods that belong to someone	Valakihez tartozó áruk elvétele
Take goods that belong to someone, on / off	Valakihez tartozó áruk elvétele, be / ki
Take items the database cannot name	Olyan tárgyak felvétele, amiket az adatbázis nem tud megnevezni
Pets and companions follow the filters	A háziállatok és a társak követik a szűrőket
A pet loots whatever it likes and the game has no switch for it. On: anything a pet or a companion picks up that your item rules, tags, classes or value floor would have refused is deleted from the inventory as it lands. Quest and protected items are never deleted. Something you pick up by hand in the same two seconds is judged by the same rules.	A háziállat azt szedi fel, amit akar, és a játékban nincs erre kapcsoló. Bekapcsolva: bármi, amit egy háziállat vagy társ felvesz, és amit a tárgyszabályaid, címkéid, osztályaid vagy az értékküszöb elutasított volna, törlődik a leltárból, amint megérkezik. Küldetéstárgyak és védett tárgyak sosem törlődnek. Amit ugyanabban a két másodpercben kézzel veszel fel, ugyanazok a szabályok bírálják el.
Take owned goods on / off	Birtokolt áruk elvétele be / ki
takes effect next launch	a következő indításkor lép életbe
The engine scans around you and takes what the rules allow. Off means nothing is taken automatically; the burst key still works.	A motor körülötted pásztáz, és felveszi, amit a szabályok engednek. Kikapcsolva semmi sem lesz automatikusan felvéve; a gyorsfelvétel gomb továbbra is működik.
The game fills a node's data only when it thinks you can reach it. Arming asks it to do that from a distance, which is also what lets an ore vein be harvested where it stands. Veins take several seconds to answer where a bush takes a fraction of one.	A játék csak akkor tölti fel egy pont adatait, ha úgy gondolja, hogy elérheted. Az aktiválás arra kéri, hogy ezt távolról tegye meg, ami azt is lehetővé teszi, hogy egy ércér ott legyen learatva, ahol áll. Az ércereknek több másodpercig tart a válasz, míg egy bokornak ennek csak töredékéig.
The game removes taken objects with a delay. This stops the same object being sent twice while it fades.	A játék késleltetve távolítja el a felvett objektumokat. Ez megakadályozza, hogy ugyanaz az objektum kétszer legyen elküldve, amíg eltűnik.
The game treats this as stealing and will put a bounty on you.	A játék ezt lopásnak tekinti, és vérdíjat tűz ki rád.
The mod never swings a pickaxe. It drives the vein's own break sequence, and the game walks one drop row for that where a real swing walks two, so your mining tool's bonus pays nothing when the mod does the mining. This adds the missing ore back through the same drop path the game uses, so it is real ore spilled on the ground, not an item copied into your bag. Set it to what your tool pays by hand minus one: a drill that gives three by hand wants 2 here. It only applies to a vein this mod broke, so mining by hand is untouched and the two cannot stack.	A mod sosem lendíti meg a csákányt. Az ércér saját törési sorozatát vezérli, és a játék ehhez egy ejtési sort jár be, míg egy valódi csapáshoz kettőt, így a bányászszerszámod bónusza semmit sem fizet, amikor a mod bányászik. Ez visszateszi a hiányzó ércet ugyanazon az ejtési úton, amit a játék használ, így ez valódi, a földre szórt érc, nem a táskádba másolt tárgy. Állítsd be arra, amit a szerszámod kézzel fizet, mínusz egy: egy fúró, ami kézzel hármat ad, itt 2-t kíván. Ez csak azokra az ércerekre vonatkozik, amelyeket ez a mod tört fel, így a kézi bányászatot nem érinti, és a kettő nem halmozódik.
The skinning interaction, once per carcass. Human corpses drop ordinary loot instead. What skinning pays out is not checked against your filters. The mod never sees it before it lands, so this switch is all or nothing.	A nyúzási interakció, tetemenként egyszer. Az emberi holttestek helyette normál zsákmányt ejtenek. Amit a nyúzás kifizet, azt nem ellenőrizzük a szűrőid szerint. A mod sosem látja, mielőtt landol, így ez a kapcsoló mind vagy semmi.
This session: %ld picked up, %ld gathered, %ld caught, %ld carcasses	Ebben a munkamenetben: %ld felvéve, %ld összegyűjtve, %ld elfogva, %ld tetem
Timber and branches on the ground and nodes that yield them.	Fa és ágak a földön, és pontok, amelyek ezeket adják.
To leave one species alone, set what it becomes to never on the Items tab: Item_Tench, Item_Ricefish, Item_Iguana. The mod reads the creature's own row in the game's character table, so it knows which species it is looking at before it catches anything. A few unusual creatures still fall back to guessing from their model name and are caught by category only.	Ha egy fajt békén akarsz hagyni, állítsd a belőle lévő tárgyat sohára a Tárgyak fülön: Item_Tench, Item_Ricefish, Item_Iguana. A mod a lény saját sorát olvassa a játék karaktertáblájából, így tudja, milyen fajjal áll szemben, mielőtt bármit is elfogna. Néhány szokatlan lény esetében a modellnév alapján tippel, és csak kategória szerint fogja be őket.
Treasure and keepsakes	Kincsek és emléktárgyak
Two buttons at once, never one: every single button already does something in this game. The mod only reads the pad, so the game still sees both buttons. Pick a pair that does nothing together, like the two shoulder buttons, or Back and a face button.	Két gombot egyszerre, sosem egyet: ebben a játékban minden egyes gomb már csinál valamit. A mod csak leolvassa a padet, így a játék továbbra is érzékeli mindkét gombot. Válassz egy olyan párt, ami együtt semmit sem csinál, például a két vállgombot, vagy a Backet egy arcgombbal.
Unbound until you set it. The game calls taking owned goods stealing and puts a bounty on you for it, so this is the switch you want on for a moment and off again, which is a poor fit for a menu.	Nincs hozzárendelve, amíg be nem állítod. A játék a birtokolt áruk elvételét lopásnak nevezi, és vérdíjat tűz ki rád érte, ezért ez az a kapcsoló, amit egy pillanatra be, majd újra ki akarsz kapcsolni, ami rosszul illik egy menühöz.
Unidentified nodes	Azonosítatlan pontok
unidentified nodes off	azonosítatlan pontok kikapcsolva
unidentified: could be a fish, a flying insect or a bird	azonosítatlan: lehet hal, repülő rovar vagy madár
unidentified: could be an insect or a small animal	azonosítatlan: lehet rovar vagy kisállat
unnamed item	névtelen tárgy
Unsellable items	El nem adható tárgyak
Use this language	Ezt a nyelvet használd
Uses the game's own Take or Steal check; owned goods are skipped until it has been observed once.	A játék saját Elvétel vagy Lopás ellenőrzését használja; a birtokolt árukat kihagyjuk, amíg egyszer meg nem figyeltük.
using the player's own field	a játékos saját mezőjét használva
