# Văn bản menu của Master Looter bằng tiếng Việt.
# Đây là bản dịch máy do Claude, một AI của Anthropic, thực hiện; chưa có
# người nói tiếng Việt bản ngữ nào kiểm tra lại bản dịch này. Góp ý sửa lỗi
# xin gửi trên GitHub (github.com/shin2344234/master-looter) hoặc trên
# trang Nexus của mod.
#
# Mỗi dòng gồm một chuỗi: bản gốc tiếng Anh, một dấu tab, rồi đến bản dịch.
# Dòng bắt đầu bằng # bị bỏ qua. \n là một dấu xuống dòng. Một dòng không có
# phần dịch sau dấu tab sẽ tiếp tục hiển thị bằng tiếng Anh, nên một tệp
# dịch dở vẫn dùng được bình thường. Giữ nguyên mọi ký hiệu %d, %s, %.1f và
# tương tự, đúng thứ tự như trong bản gốc: chúng được thay bằng số và tên
# lúc trò chơi đang chạy.
#
# Lưu tệp này với tên MasterLooter.vi.txt cạnh MasterLooter.asi để nó ghi
# đè lên bản dịch có sẵn trong plugin.

  bag full	  túi đồ đầy
Breaking drives the game's own state machine at the vein, the swing landing and then the break, so the node spills its contents on the ground and disappears exactly as it does under a pickaxe. Emptying instead lifts the ore straight out and skips the drop entirely. Neither route pays your tool's Mining Yield Up, which the game only grants to a swing it counts as yours, so set the extra below to make up the difference. Each vein is struck once and then left alone until the game respawns it.	Đập vỡ sẽ kích hoạt máy trạng thái riêng của trò chơi tại vỉa quặng: cú đánh trúng đích rồi mới đến khi vỡ, khiến điểm này đổ nội dung ra mặt đất và biến mất y hệt như dưới một cây cuốc chim. Rút cạn thì lấy quặng ra thẳng và bỏ qua hoàn toàn phần rơi ra. Không cách nào trong hai cách này được cộng thêm chỉ số Mining Yield Up của công cụ, vì trò chơi chỉ cấp chỉ số đó cho một cú đánh mà nó tính là của bạn, vậy nên hãy đặt phần thêm bên dưới để bù lại khoảng chênh lệch đó. Mỗi vỉa quặng chỉ bị đánh một lần rồi được để yên cho đến khi trò chơi hồi sinh nó.
Butterflies, beetles, dragonflies, bees, spiders, scorpions, snails and the other small things the game files as insects. Species come from the creature table; a creature the table cannot name is only caught when every category it could belong to is on (a flyer could be a fish, an insect or a bird).	Bướm, bọ cánh cứng, chuồn chuồn, ong, nhện, bọ cạp, ốc sên và những sinh vật nhỏ khác mà trò chơi xếp vào loại côn trùng. Loài được xác định từ bảng sinh vật; một sinh vật mà bảng đó không đặt tên được chỉ bị bắt khi mọi loại nó có thể thuộc về đều đang bật (một con biết bay có thể là cá, côn trùng hoặc chim).
captured	đã chặn được
Carcasses	Xác thú
carcasses off	xác thú tắt
Catching	Bắt
Caught creatures, live or lying around; a creature the table can name follows its class rule. Crabs, shrimp and squid are seafood under Food and drink.	Sinh vật bị bắt, còn sống hoặc nằm quanh đó; một sinh vật mà bảng có thể đặt tên sẽ theo quy tắc của loại nó. Cua, tôm và mực là hải sản thuộc mục Đồ ăn và thức uống.
Chests, crates and drop-set nodes. They rarely respond to the loot event. Off by default.	Rương, thùng gỗ và các điểm drop-set. Chúng hiếm khi phản hồi sự kiện loot. Mặc định là tắt.
Class	Loại
class %s	loại %s
Classes	Loại
Clear	Xóa
Clear overrides	Xóa các ghi đè
Clears what this session worked out from your bag. Nodes named by the prefab table are unaffected.	Xóa những gì phiên này đã suy ra từ túi đồ của bạn. Các điểm đã được bảng prefab đặt tên không bị ảnh hưởng.
Close	Đóng
container (off)	vật chứa (tắt)
Containers	Vật chứa
Controller	Tay cầm
Copper	Đồng
Copy	Sao chép
Copy path	Sao chép đường dẫn
Copy to the clipboard.	Sao chép vào bộ nhớ tạm.
corpse	xác
corpse already searched	xác đã bị lục soát
corpse: loot drops separately	xác: đồ rơi ra riêng
creature	sinh vật
Creatures	Sinh vật
Crops	Cây trồng
crops off	cây trồng tắt
Damaged gear	Trang bị hư hỏng
Dead zone around you	Vùng chết quanh bạn
Decision	Quyết định
default	mặc định
DirectX 12 hooks	DirectX 12 hooks
does not respond	không phản hồi
Draw water from wells	Múc nước từ giếng
Engine	Công cụ
English	Tiếng Anh
English. %d line(s) seen this session.	Tiếng Anh. %d dòng đã thấy trong phiên này.
entity	entity
entity %08X	entity %08X
entity %08X, %d items across every store	entity %08X, %d vật phẩm trong tất cả kho chứa
entity %08X, bag %d of %d slots, %d items across every store	entity %08X, túi đồ %d trong %d ô, %d vật phẩm trong tất cả kho chứa
Event descriptors	Bộ mô tả sự kiện
Extra ore per vein	Quặng thêm cho mỗi vỉa
failed	thất bại
fast-travel artifact	vật phẩm dịch chuyển nhanh
filter classes	lọc theo loại
filter tags	lọc theo thẻ
Filters	Bộ lọc
Fish	Cá
fish off	cá tắt
Fish, and whatever else you catch in the water: crabs, shrimp, squid, starfish and seahorses.	Cá, và bất cứ thứ gì khác bạn bắt được dưới nước: cua, tôm, mực, sao biển và cá ngựa.
Food and drink	Đồ ăn và thức uống
Forget	Quên
found	đã tìm thấy
Furniture	Nội thất
Furniture and decor	Nội thất và trang trí
furniture node (off)	điểm nội thất (tắt)
furniture off	nội thất tắt
Game functions	Hàm trò chơi
Game functions did not resolve; see Status.	Hàm trò chơi chưa được phân giải; xem mục Status.
Game-thread pump	Bộ bơm luồng trò chơi
gather node	điểm thu thập
Gathering	Thu thập
General	Chung
Ground items	Vật phẩm trên mặt đất
Groups	Nhóm
Herb, flower and mushroom nodes, and the same lying on the ground. Food crops have their own switch.	Các điểm thảo dược, hoa và nấm, cùng những thứ tương tự nằm trên mặt đất. Cây trồng thực phẩm có công tắc riêng.
hold two buttons (Escape cancels)	giữ hai nút (Escape để hủy)
Household clutter and collectibles, most of it worthless.	Đồ đạc lặt vặt và vật sưu tầm trong nhà, hầu hết không có giá trị.
How full the bag is is read from the bag itself, so the notice appears the moment it fills, whether or not you are looting. If those numbers ever stop making sense the mod falls back to watching what happens after a pick-up: three in a row that reach nothing raise the notice, and one landing clears it.	Mức độ đầy của túi đồ được đọc trực tiếp từ chính túi đồ, nên thông báo hiện ra ngay khi nó đầy, dù bạn có đang loot hay không. Nếu những con số đó có lúc không còn hợp lý, mod sẽ chuyển sang theo dõi điều gì xảy ra sau mỗi lần nhặt: ba lần liên tiếp không nhặt được gì sẽ bật thông báo, và một lần nhặt thành công sẽ tắt nó đi.
How often the scene is read. The scan runs on its own thread; only the final take costs the game a fraction of a millisecond.	Tần suất đọc cảnh chơi. Việc quét chạy trên luồng riêng của nó; chỉ bước lấy kết quả cuối cùng mới tốn của trò chơi một phần nhỏ của mili giây.
incomplete	chưa hoàn chỉnh
Insects	Côn trùng
insects off	côn trùng tắt
installed	đã cài đặt
Item	Vật phẩm
Item database	Cơ sở dữ liệu vật phẩm
Item table	Bảng vật phẩm
Items	Vật phẩm
Items lying in the world, including drops from enemies.	Vật phẩm nằm trong thế giới, kể cả đồ rơi ra từ kẻ địch.
Items no shop will buy, across every class.	Vật phẩm không cửa hàng nào mua, ở mọi loại.
Items on the ground	Vật phẩm trên mặt đất
Items tagged quest are left alone, so puzzles and story pickups are not auto-taken. This reads the item's own tags, so it covers anything picked up, gathered or broken open. Skinning a carcass is outside it: that yield arrives without the mod ever seeing what it is.	Vật phẩm gắn thẻ nhiệm vụ được để yên, nên câu đố và vật phẩm cốt truyện không bị tự động nhặt. Điều này đọc chính thẻ của vật phẩm, nên bao trùm mọi thứ được nhặt, thu thập hay đập mở. Lột da xác thú nằm ngoài phạm vi này: kết quả lột da đến mà mod chưa từng thấy nó là gì.
Items with an unknown value are never filtered by it.	Vật phẩm có giá trị không xác định không bao giờ bị lọc theo tiêu chí này.
Keep the menu on screen while you play. %s brings it back, %s closes it.	Giữ menu trên màn hình trong khi chơi. %s đưa nó trở lại, %s đóng nó.
Keys	Phím
Keys and tools	Chìa khóa và công cụ
Language	Ngôn ngữ
Language \"%s\": %d line(s) translated, %d seen this session.	Ngôn ngữ \"%s\": %d dòng đã dịch, %d dòng đã thấy trong phiên này.
learned from the game	học được từ trò chơi
Load	Tải
loaded	đã tải
locked	đã khóa
Log	Nhật ký
Log: %ls	Nhật ký: %ls
Loot	Loot
Loot all	Loot tất cả
Loot engine	Công cụ loot
Loot engine not started.	Công cụ loot chưa khởi động.
Loot everything in range now	Loot mọi thứ trong tầm ngay bây giờ
Loot everything in range once	Loot mọi thứ trong tầm một lần
loot: %s	loot: %s
Looting	Loot
MASTER LOOTER	MASTER LOOTER
Master Looter v%s for game build %s	Master Looter v%s cho bản dựng trò chơi %s
Materials	Nguyên liệu
mechanism part	một phần cơ cấu
Memory chips and puzzle parts	Chip ký ức và mảnh ghép câu đố
Mine ore veins for you	Tự động khai thác vỉa quặng cho bạn
Minimum value (copper)	Giá trị tối thiểu (đồng)
missing	thiếu
missing MasterLooter.items.tsv	thiếu MasterLooter.items.tsv
mission object	vật thể nhiệm vụ
Mounts and vehicles	Thú cưỡi và phương tiện
name a new preset	đặt tên cho cấu hình mới
Nearby	Xung quanh
never	không bao giờ
no	không
no interaction node	không có điểm tương tác
Nodes the prefab table does not name and that have not yielded anything yet this session. Off (the default) leaves them alone. On makes the mod gather them to find out, which means a plant can be taken while Plants is off.	Các điểm mà bảng prefab không đặt tên được và chưa cho ra thứ gì trong phiên này. Tắt (mặc định) sẽ để chúng yên. Bật khiến mod thu thập chúng để tìm hiểu, nghĩa là một cây cỏ có thể bị lấy dù mục Cây cỏ đang tắt.
none	không có
not found yet	chưa tìm thấy
not in item database	không có trong cơ sở dữ liệu vật phẩm
not ready (node empty)	chưa sẵn sàng (điểm trống)
not resolved yet	chưa được phân giải
not started	chưa khởi động
not yet	chưa
Nothing else is drawn while the menu is closed.	Không có gì khác được vẽ khi menu đang đóng.
nothing taken yet this session	chưa lấy gì trong phiên này
Object	Vật thể
object	vật thể
Objects are listed nearest first, with the rule that decided each one. Empty nodes read as not ready until the game or arming fills them. What you are wearing and carrying is left out.	Vật thể được liệt kê từ gần nhất, kèm quy tắc đã quyết định cho từng cái. Điểm trống hiển thị là chưa sẵn sàng cho đến khi trò chơi hoặc việc kích hoạt lấp đầy chúng. Những gì bạn đang mặc và mang theo không được liệt kê.
Objects closer than this are treated as your own equipment. A safety net; your gear is also recognised by other means.	Vật thể gần hơn khoảng cách này được coi là trang bị của chính bạn. Đây là một lớp bảo hiểm; trang bị của bạn còn được nhận diện bằng những cách khác.
Objects per burst press	Số vật thể mỗi lần bấm nhanh
Objects per scan	Số vật thể mỗi lần quét
on the player	trên người chơi
On, a vein is harvested where it stands and you never swing a pickaxe. Off, veins are left alone and only the chunks you knock loose are picked up. Needs arming, since asking the vein to open is the whole trick.	Bật, một vỉa quặng được khai thác ngay tại chỗ và bạn không bao giờ phải vung cuốc chim. Tắt, vỉa quặng được để yên và chỉ những mảnh vụn bạn đánh rơi ra mới được nhặt. Cần kích hoạt, vì yêu cầu vỉa quặng mở ra chính là toàn bộ mấu chốt.
On, the overlay draws under DLSS frame generation, which needs this mod to hand the game a wrapped swapchain.\n\nOff, the overlay draws through the present hook instead. Everything looks the same unless frame generation is on, and the mod stays off a path other overlay mods patch as well. Try this if the game will not start alongside another overlay mod; it can be set as WrapSwapChain in MasterLooter.ini without launching the game.	Bật, lớp phủ được vẽ bên dưới tính năng tạo khung hình của DLSS, việc này đòi hỏi mod phải đưa cho trò chơi một swapchain đã được bọc.\n\nTắt, lớp phủ được vẽ qua hook Present thay vào đó. Mọi thứ trông như nhau trừ khi tính năng tạo khung hình đang bật, và mod tránh xa một đường mà các mod lớp phủ khác cũng vá vào. Hãy thử cách này nếu trò chơi không khởi động được cùng một mod lớp phủ khác; có thể đặt bằng WrapSwapChain trong MasterLooter.ini mà không cần mở trò chơi.
One backup is written each time the game starts and the last twelve are kept, in MasterLooter.backups next to the plugin. Presets sit in MasterLooter.presets. Copy either folder to keep it across a reinstall.	Một bản sao lưu được ghi mỗi khi trò chơi khởi động, và mười hai bản gần nhất được giữ lại, trong MasterLooter.backups cạnh plugin. Các cấu hình nằm trong MasterLooter.presets. Sao chép một trong hai thư mục để giữ lại qua một lần cài lại.
One click per family. The table below still sets single classes; a group shows a dash when only some of it is on.	Một cú nhấp cho mỗi nhóm lớn. Bảng bên dưới vẫn đặt từng loại riêng lẻ; một nhóm hiện dấu gạch ngang khi chỉ một phần trong đó đang bật.
Open and close this menu	Mở và đóng menu này
Open folder	Mở thư mục
Opens the folder in Explorer. The log is rewritten every launch and is what to attach to a report.	Mở thư mục trong Explorer. Nhật ký được ghi lại mỗi lần khởi động và là thứ cần đính kèm khi báo lỗi.
Ore	Quặng
Ore chunks on the ground and any node that yields ore, veins included. A vein is broken where it stands and its contents picked up off the floor, which is what your pickaxe does and what makes a better pickaxe worth carrying: the tool's Mining Yield Up applies to the drop, not to the node. Each vein is struck once and left alone until the game brings it back. Reaching for veins starts as far out as the scan can see, because they take seconds to answer where a bush takes a fraction of one.	Mảnh quặng trên mặt đất và mọi điểm cho ra quặng, kể cả vỉa quặng. Một vỉa quặng bị đập vỡ ngay tại chỗ và nội dung của nó được nhặt lên khỏi sàn, đúng như cuốc chim của bạn làm và đúng lý do khiến mang theo một cây cuốc chim tốt hơn là đáng giá: chỉ số Mining Yield Up của công cụ áp dụng cho phần rơi ra, không áp dụng cho điểm. Mỗi vỉa quặng chỉ bị đánh một lần rồi được để yên cho đến khi trò chơi đưa nó trở lại. Việc vươn tới vỉa quặng bắt đầu từ xa nhất mà tầm quét có thể thấy, vì chúng mất vài giây để phản hồi trong khi một bụi cây chỉ mất một phần nhỏ của giây đó.
ore off	quặng tắt
Ore, gems, stone, timber, hides, herbs, trade goods and other crafting input.	Quặng, đá quý, đá, gỗ, da thú, thảo dược, hàng hóa buôn bán và các nguyên liệu chế tạo khác.
out of range	ngoài tầm
Overlay	Lớp phủ
Override	Ghi đè
owned by someone (theft)	thuộc sở hữu người khác (trộm cắp)
Ownership	Quyền sở hữu
Ownership oracle	Bộ kiểm tra quyền sở hữu
Pace	Nhịp độ
part of a creature or a mechanism	một phần của sinh vật hoặc cơ cấu
paused: %s	tạm dừng: %s
pick up off	nhặt tắt
Plants	Cây cỏ
plants off	cây cỏ tắt
Player	Người chơi
Player equipment.	Trang bị của người chơi.
Player not found in the scene yet.	Chưa tìm thấy người chơi trong cảnh chơi.
Presets	Cấu hình
press a key (Escape cancels)	nhấn một phím (Escape để hủy)
Protected by default: a memory chip starts a memory scene when taken, and a puzzle part breaks its puzzle. Turn on only if you want them auto-taken.	Mặc định được bảo vệ: một chip ký ức bắt đầu một cảnh ký ức khi được lấy, và một mảnh ghép câu đố làm hỏng câu đố của nó. Chỉ bật nếu bạn muốn chúng được tự động nhặt.
protected item name	tên vật phẩm được bảo vệ
Puts every setting and rule back to what it was at that moment.	Đưa mọi thiết lập và quy tắc trở lại đúng như tại thời điểm đó.
puzzle or protected mechanism	câu đố hoặc cơ cấu được bảo vệ
Quest items	Vật phẩm nhiệm vụ
quest or memory trigger	nhiệm vụ hoặc điểm kích hoạt ký ức
Ranges (metres)	Phạm vi (mét)
Rats, squirrels, birds, lizards, frogs and salamanders: anything else the game puts in the bag whole.	Chuột, sóc, chim, thằn lằn, ếch và kỳ giông: bất cứ thứ gì khác mà trò chơi cho nguyên con vào túi đồ.
Reaching nodes	Vươn tới các điểm
Read from the file beside the plugin, not the copy inside it.	Được đọc từ tệp cạnh plugin, không phải bản sao bên trong nó.
Rebind	Gán lại phím
Recent loot	Đồ loot gần đây
Refresh	Làm mới
Reload now	Tải lại ngay
Replaces every setting and every class, tag and item rule with what the preset holds, and writes it to MasterLooter.ini. Nothing of the current settings is kept, so back them up first if you want them.	Thay thế mọi thiết lập cùng mọi quy tắc loại, thẻ và vật phẩm bằng những gì cấu hình đó chứa, rồi ghi vào MasterLooter.ini. Không gì trong thiết lập hiện tại được giữ lại, nên hãy sao lưu trước nếu bạn muốn giữ chúng.
Reset all tags	Đặt lại tất cả thẻ
resolved	đã phân giải
Retry the same object after (ms)	Thử lại cùng vật thể sau (ms)
Route id	ID lộ trình
Rule	Quy tắc
Save now	Lưu ngay
Saved as \"%s\": a preset name keeps letters, digits, spaces, dashes and underscores.	Đã lưu là \"%s\": tên cấu hình chỉ giữ chữ cái, chữ số, dấu cách, dấu gạch ngang và dấu gạch dưới.
Say so on screen when the bag stops taking things	Báo trên màn hình khi túi đồ ngừng nhận thêm đồ
scan %.1f ms	quét %.1f ms
Scan radius	Bán kính quét
Scans %ld, events sent %ld, pump ticks %ld, guarded faults %ld, node kinds learned %d	Lượt quét %ld, sự kiện đã gửi %ld, tick bơm %ld, lỗi được chặn %ld, loại điểm đã học %d
Scans per second	Số lượt quét mỗi giây
search item name or key (3+ letters)	tìm theo tên hoặc mã vật phẩm (từ 3 ký tự trở lên)
Sending events	Đang gửi sự kiện
Set	Đặt
Settings: %ls	Thiết lập: %ls
Show a brief notice when auto-loot is toggled	Hiện thông báo ngắn khi bật/tắt tự động loot
Showing current overrides. Type to search all %d items.	Đang hiện các ghi đè hiện tại. Gõ để tìm trong tất cả %d vật phẩm.
Showing the nearest %d of %d. The rest are further away.	Đang hiện %d gần nhất trong tổng số %d. Số còn lại ở xa hơn.
Skip all	Bỏ qua tất cả
Skip items shops refuse to buy	Bỏ qua vật phẩm mà cửa hàng từ chối mua
Skip quest items	Bỏ qua vật phẩm nhiệm vụ
skip: %s	bỏ qua: %s
Small animals	Động vật nhỏ
small animals off	động vật nhỏ tắt
Some world objects carry no readable item name. On: take them anyway. Off: leave anything unidentified.	Một số vật thể trong thế giới không mang tên vật phẩm có thể đọc được. Bật: vẫn lấy chúng. Tắt: để yên mọi thứ chưa xác định được.
stack at one point (storage contents)	chồng tại một điểm (nội dung kho chứa)
Status	Trạng thái
Stone	Đá
stone off	đá tắt
Stone on the ground and nodes that yield stone.	Đá trên mặt đất và các điểm cho ra đá.
Tables, chairs, beds, carpets, lamps, candles, paintings, pots and the rest of a furnished room, whether you pick one up off the floor or take it from its own interaction node. Most of it is worth a copper or two, but the carpets and the luxury beds run to thousands, so turn this on before furnishing a house. Chests and the other things that hold something answer to Containers instead. Off by default.	Bàn, ghế, giường, thảm, đèn, nến, tranh, chậu cây và những thứ còn lại của một căn phòng có nội thất, dù bạn nhặt từ sàn hay lấy từ chính điểm tương tác của nó. Hầu hết chỉ đáng giá một hoặc hai đồng, nhưng thảm và giường sang trọng có thể lên tới hàng nghìn, nên hãy bật mục này trước khi trang trí một căn nhà. Rương và những thứ khác dùng để đựng đồ được xử lý bởi mục Vật chứa thay vào đó. Mặc định là tắt.
Tag	Thẻ
Tags	Thẻ
tags, any of which can be set to never in the Tags tab:	thẻ, bất kỳ thẻ nào trong số này cũng có thể được đặt thành “không bao giờ” trong tab Thẻ:
Take goods that belong to someone	Lấy hàng hóa thuộc về người khác
Take goods that belong to someone, on / off	Bật/tắt lấy hàng hóa thuộc về người khác
Take items the database cannot name	Lấy vật phẩm mà cơ sở dữ liệu không đặt tên được
Pets and companions follow the filters	Thú cưng và đồng hành tuân theo bộ lọc
A pet loots whatever it likes and the game has no switch for it. On: anything a pet or a companion picks up that your item rules, tags, classes or value floor would have refused is deleted from the inventory as it lands. Quest and protected items are never deleted. Something you pick up by hand in the same two seconds is judged by the same rules.	Thú cưng nhặt bất cứ thứ gì nó thích và trò chơi không có công tắc cho việc đó. Bật: bất cứ thứ gì thú cưng hoặc đồng hành nhặt mà quy tắc vật phẩm, thẻ, lớp hoặc ngưỡng giá trị của bạn đã từ chối sẽ bị xóa khỏi túi đồ ngay khi nó vào. Vật phẩm nhiệm vụ và vật phẩm được bảo vệ không bao giờ bị xóa. Thứ bạn tự tay nhặt trong cùng hai giây đó được xét theo cùng quy tắc.
Take owned goods on / off	Bật/tắt lấy tài sản của người khác
takes effect next launch	có hiệu lực từ lần khởi động sau
The engine scans around you and takes what the rules allow. Off means nothing is taken automatically; the burst key still works.	Công cụ quét xung quanh bạn và lấy những gì quy tắc cho phép. Tắt nghĩa là không có gì được lấy tự động; phím bấm nhanh vẫn hoạt động.
The game fills a node's data only when it thinks you can reach it. Arming asks it to do that from a distance, which is also what lets an ore vein be harvested where it stands. Veins take several seconds to answer where a bush takes a fraction of one.	Trò chơi chỉ lấp đầy dữ liệu của một điểm khi nó nghĩ rằng bạn có thể chạm tới. Kích hoạt yêu cầu nó làm việc đó từ xa, và đó cũng là cách một vỉa quặng có thể được khai thác ngay tại chỗ. Vỉa quặng mất vài giây để phản hồi trong khi một bụi cây chỉ mất một phần nhỏ của giây đó.
The game removes taken objects with a delay. This stops the same object being sent twice while it fades.	Trò chơi xóa các vật thể đã lấy với một khoảng trễ. Điều này ngăn cùng một vật thể được gửi hai lần trong lúc nó biến mất.
The game treats this as stealing and will put a bounty on you.	Trò chơi coi đây là hành vi trộm cắp và sẽ treo tiền thưởng truy nã bạn.
The mod never swings a pickaxe. It drives the vein's own break sequence, and the game walks one drop row for that where a real swing walks two, so your mining tool's bonus pays nothing when the mod does the mining. This adds the missing ore back through the same drop path the game uses, so it is real ore spilled on the ground, not an item copied into your bag. Set it to what your tool pays by hand minus one: a drill that gives three by hand wants 2 here. It only applies to a vein this mod broke, so mining by hand is untouched and the two cannot stack.	Mod không bao giờ vung cuốc chim. Nó kích hoạt chuỗi vỡ riêng của vỉa quặng, và trò chơi chỉ chạy qua một hàng rơi cho việc đó, trong khi một cú vung thật chạy qua hai hàng, nên phần thưởng của công cụ khai thác không trả gì khi mod tự khai thác. Tùy chọn này cộng lại số quặng còn thiếu qua đúng đường rơi mà trò chơi dùng, nên đó là quặng thật đổ ra mặt đất, không phải một vật phẩm được sao chép vào túi đồ bạn. Hãy đặt nó bằng số quặng công cụ của bạn trả khi khai thác tay trừ đi một: một cây khoan cho ba khi khai thác tay thì cần đặt 2 ở đây. Nó chỉ áp dụng cho một vỉa quặng do mod này đập vỡ, nên việc khai thác bằng tay không bị ảnh hưởng và hai khoản này không thể cộng dồn.
The skinning interaction, once per carcass. Human corpses drop ordinary loot instead. What skinning pays out is not checked against your filters. The mod never sees it before it lands, so this switch is all or nothing.	Tương tác lột da, một lần cho mỗi xác thú. Xác người thả ra đồ loot thông thường thay vào đó. Những gì lột da trả ra không được kiểm tra theo bộ lọc của bạn. Mod không bao giờ thấy nó trước khi nó xuất hiện, nên công tắc này là tất cả hoặc không gì cả.
This session: %ld picked up, %ld gathered, %ld caught, %ld carcasses	Phiên này: %ld đã nhặt, %ld đã thu thập, %ld đã bắt, %ld xác thú
Timber and branches on the ground and nodes that yield them.	Gỗ và cành cây trên mặt đất cùng các điểm cho ra chúng.
To leave one species alone, set what it becomes to never on the Items tab: Item_Tench, Item_Ricefish, Item_Iguana. The mod reads the creature's own row in the game's character table, so it knows which species it is looking at before it catches anything. A few unusual creatures still fall back to guessing from their model name and are caught by category only.	Để một loài được yên, hãy đặt quy tắc cho vật phẩm mà nó biến thành về “không bao giờ” trong tab Vật phẩm: Item_Tench, Item_Ricefish, Item_Iguana. Mod đọc chính hàng dữ liệu của sinh vật đó trong bảng nhân vật của trò chơi, nên nó biết đang nhìn vào loài nào trước khi bắt bất cứ thứ gì. Một vài sinh vật khác thường vẫn phải đoán qua tên mô hình của chúng và chỉ bị bắt theo loại.
Treasure and keepsakes	Kho báu và vật kỷ niệm
